#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: HLHIL01_01_2003
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20030101 TO 20031231
#LOCATION: Hillarys
#Station Status:  Historical
#Lat: -31.825535  Long: 115.738578
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart Datum     which is   4.895   m below Benchmark   Hamersley   
#National Station ID:   NA
#Site Description: NA
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00056,20030101.0000/
00054,20030101.0015/
00050,20030101.0030/
00049,20030101.0045/
00043,20030101.0100/
00042,20030101.0115/
00039,20030101.0130/
00036,20030101.0145/
00032,20030101.0200/
00028,20030101.0215/
00026,20030101.0230/
00026,20030101.0245/
00020,20030101.0300/
00022,20030101.0315/
00021,20030101.0330/
00019,20030101.0345/
00019,20030101.0400/
00014,20030101.0415/
00013,20030101.0430/
00011,20030101.0445/
00013,20030101.0500/
00011,20030101.0515/
00013,20030101.0530/
00019,20030101.0545/
00018,20030101.0600/
00019,20030101.0615/
00021,20030101.0630/
00017,20030101.0645/
00019,20030101.0700/
00022,20030101.0715/
00020,20030101.0730/
00026,20030101.0745/
00027,20030101.0800/
00030,20030101.0815/
00033,20030101.0830/
00036,20030101.0845/
00033,20030101.0900/
00036,20030101.0915/
00041,20030101.0930/
00042,20030101.0945/
00043,20030101.1000/
00044,20030101.1015/
00047,20030101.1030/
00049,20030101.1045/
00049,20030101.1100/
00050,20030101.1115/
00051,20030101.1130/
00051,20030101.1145/
00055,20030101.1200/
00055,20030101.1215/
00053,20030101.1230/
00054,20030101.1245/
00057,20030101.1300/
00057,20030101.1315/
00062,20030101.1330/
00063,20030101.1345/
00065,20030101.1400/
00063,20030101.1415/
00065,20030101.1430/
00069,20030101.1445/
00066,20030101.1500/
00068,20030101.1515/
00070,20030101.1530/
00074,20030101.1545/
00082,20030101.1600/
00083,20030101.1615/
00085,20030101.1630/
00091,20030101.1645/
00087,20030101.1700/
00091,20030101.1715/
00089,20030101.1730/
00090,20030101.1745/
00095,20030101.1800/
00093,20030101.1815/
00094,20030101.1830/
00100,20030101.1845/
00102,20030101.1900/
00103,20030101.1915/
00103,20030101.1930/
00103,20030101.1945/
00103,20030101.2000/
00105,20030101.2015/
00100,20030101.2030/
00098,20030101.2045/
00098,20030101.2100/
00096,20030101.2115/
00096,20030101.2130/
00094,20030101.2145/
00095,20030101.2200/
00092,20030101.2215/
00088,20030101.2230/
00086,20030101.2245/
00082,20030101.2300/
