#Department of Transport Western Australia, Oceanographic Services
#Data File Name: FBV_JAN-MAY_2022_Well1.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2022-01-01 00:00:00 to 2022-05-31 23:55:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   88,20220101.0000/
   85,20220101.0005/
   86,20220101.0010/
   88,20220101.0015/
   86,20220101.0020/
   84,20220101.0025/
   84,20220101.0030/
   84,20220101.0035/
   81,20220101.0040/
   80,20220101.0045/
   80,20220101.0050/
   77,20220101.0055/
   73,20220101.0100/
   72,20220101.0105/
   71,20220101.0110/
   70,20220101.0115/
   68,20220101.0120/
   66,20220101.0125/
   63,20220101.0130/
   62,20220101.0135/
   62,20220101.0140/
   63,20220101.0145/
   60,20220101.0150/
   58,20220101.0155/
   59,20220101.0200/
   61,20220101.0205/
   59,20220101.0210/
   56,20220101.0215/
   56,20220101.0220/
   55,20220101.0225/
   55,20220101.0230/
   55,20220101.0235/
   54,20220101.0240/
   52,20220101.0245/
   52,20220101.0250/
   54,20220101.0255/
   54,20220101.0300/
   53,20220101.0305/
   52,20220101.0310/
   53,20220101.0315/
   52,20220101.0320/
   49,20220101.0325/
   46,20220101.0330/
   45,20220101.0335/
   47,20220101.0340/
   46,20220101.0345/
   43,20220101.0350/
   46,20220101.0355/
   48,20220101.0400/
   45,20220101.0405/
   43,20220101.0410/
   45,20220101.0415/
   45,20220101.0420/
   40,20220101.0425/
   39,20220101.0430/
   38,20220101.0435/
   38,20220101.0440/
   36,20220101.0445/
   35,20220101.0450/
   35,20220101.0455/
   35,20220101.0500/
   35,20220101.0505/
   38,20220101.0510/
   38,20220101.0515/
   37,20220101.0520/
   35,20220101.0525/
   35,20220101.0530/
   38,20220101.0535/
   38,20220101.0540/
   37,20220101.0545/
   37,20220101.0550/
   40,20220101.0555/
   37,20220101.0600/
   38,20220101.0605/
   41,20220101.0610/
   42,20220101.0615/
   39,20220101.0620/
   39,20220101.0625/
   43,20220101.0630/
   48,20220101.0635/
   47,20220101.0640/
   42,20220101.0645/
   43,20220101.0650/
   47,20220101.0655/
   48,20220101.0700/
   47,20220101.0705/
   47,20220101.0710/
   45,20220101.0715/
   46,20220101.0720/
   49,20220101.0725/
   52,20220101.0730/
   50,20220101.0735/
   48,20220101.0740/
   50,20220101.0745/
   52,20220101.0750/
   52,20220101.0755/
   50,20220101.0800/
   49,20220101.0805/
   51,20220101.0810/
   53,20220101.0815/
   54,20220101.0820/
   55,20220101.0825/
   55,20220101.0830/
   56,20220101.0835/
   56,20220101.0840/
   58,20220101.0845/
   60,20220101.0850/
