#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Aug_2022_Well2.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2022-07-31 23:50:00 to 2022-08-31 23:45:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   98,20220731.2350/
  100,20220731.2355/
  105,20220801.0000/
  105,20220801.0005/
  101,20220801.0010/
  100,20220801.0015/
  104,20220801.0020/
  104,20220801.0025/
  102,20220801.0030/
  104,20220801.0035/
  108,20220801.0040/
  108,20220801.0045/
  105,20220801.0050/
  102,20220801.0055/
  100,20220801.0100/
  100,20220801.0105/
  103,20220801.0110/
  104,20220801.0115/
  103,20220801.0120/
  104,20220801.0125/
  104,20220801.0130/
  103,20220801.0135/
  102,20220801.0140/
  101,20220801.0145/
  102,20220801.0150/
  104,20220801.0155/
  104,20220801.0200/
  104,20220801.0205/
  102,20220801.0210/
  100,20220801.0215/
  106,20220801.0220/
  111,20220801.0225/
  107,20220801.0230/
  103,20220801.0235/
  106,20220801.0240/
  107,20220801.0245/
  106,20220801.0250/
  105,20220801.0255/
  105,20220801.0300/
  108,20220801.0305/
  110,20220801.0310/
  111,20220801.0315/
  110,20220801.0320/
  109,20220801.0325/
  108,20220801.0330/
  108,20220801.0335/
  110,20220801.0340/
  109,20220801.0345/
  106,20220801.0350/
  108,20220801.0355/
  112,20220801.0400/
  112,20220801.0405/
  109,20220801.0410/
  108,20220801.0415/
  112,20220801.0420/
  117,20220801.0425/
  112,20220801.0430/
  110,20220801.0435/
  114,20220801.0440/
  117,20220801.0445/
  113,20220801.0450/
  111,20220801.0455/
  115,20220801.0500/
  115,20220801.0505/
  113,20220801.0510/
  115,20220801.0515/
  116,20220801.0520/
  113,20220801.0525/
  115,20220801.0530/
  119,20220801.0535/
  121,20220801.0540/
  121,20220801.0545/
  124,20220801.0550/
  130,20220801.0555/
  129,20220801.0600/
  124,20220801.0605/
  125,20220801.0610/
  129,20220801.0615/
  128,20220801.0620/
  122,20220801.0625/
  120,20220801.0630/
  126,20220801.0635/
  130,20220801.0640/
  126,20220801.0645/
  123,20220801.0650/
  128,20220801.0655/
  137,20220801.0700/
  137,20220801.0705/
  130,20220801.0710/
  130,20220801.0715/
  133,20220801.0720/
  134,20220801.0725/
  135,20220801.0730/
  135,20220801.0735/
  133,20220801.0740/
  137,20220801.0745/
  139,20220801.0750/
  132,20220801.0755/
  133,20220801.0800/
  139,20220801.0805/
  139,20220801.0810/
  137,20220801.0815/
  138,20220801.0820/
  140,20220801.0825/
  141,20220801.0830/
  144,20220801.0835/
  146,20220801.0840/
  143,20220801.0845/
