#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Nov_2022_Well1.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2022-10-31 23:50:00 to 2022-11-04 12:00:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   81,20221031.2350/
   80,20221031.2355/
   81,20221101.0000/
   80,20221101.0005/
   79,20221101.0010/
   76,20221101.0015/
   79,20221101.0020/
   79,20221101.0025/
   79,20221101.0030/
   77,20221101.0035/
   79,20221101.0040/
   80,20221101.0045/
   81,20221101.0050/
   82,20221101.0055/
   80,20221101.0100/
   79,20221101.0105/
   81,20221101.0110/
   83,20221101.0115/
   79,20221101.0120/
   80,20221101.0125/
   84,20221101.0130/
   83,20221101.0135/
   80,20221101.0140/
   81,20221101.0145/
   82,20221101.0150/
   83,20221101.0155/
   80,20221101.0200/
   78,20221101.0205/
   83,20221101.0210/
   83,20221101.0215/
   80,20221101.0220/
   80,20221101.0225/
   79,20221101.0230/
   77,20221101.0235/
   77,20221101.0240/
   77,20221101.0245/
   75,20221101.0250/
   75,20221101.0255/
   74,20221101.0300/
   73,20221101.0305/
   75,20221101.0310/
   74,20221101.0315/
   75,20221101.0320/
   77,20221101.0325/
   78,20221101.0330/
   76,20221101.0335/
   72,20221101.0340/
   74,20221101.0345/
   73,20221101.0350/
   72,20221101.0355/
   71,20221101.0400/
   73,20221101.0405/
   72,20221101.0410/
   72,20221101.0415/
   73,20221101.0420/
   72,20221101.0425/
   70,20221101.0430/
   71,20221101.0435/
   68,20221101.0440/
   71,20221101.0445/
   69,20221101.0450/
   66,20221101.0455/
   66,20221101.0500/
   70,20221101.0505/
   69,20221101.0510/
   66,20221101.0515/
   65,20221101.0520/
   65,20221101.0525/
   64,20221101.0530/
   63,20221101.0535/
   63,20221101.0540/
   62,20221101.0545/
   62,20221101.0550/
   62,20221101.0555/
   60,20221101.0600/
   59,20221101.0605/
   59,20221101.0610/
   57,20221101.0615/
   57,20221101.0620/
   54,20221101.0625/
   53,20221101.0630/
   53,20221101.0635/
   54,20221101.0640/
   54,20221101.0645/
   51,20221101.0650/
   53,20221101.0655/
   54,20221101.0700/
   54,20221101.0705/
   53,20221101.0710/
   52,20221101.0715/
   50,20221101.0720/
   50,20221101.0725/
   53,20221101.0730/
   51,20221101.0735/
   48,20221101.0740/
   52,20221101.0745/
   53,20221101.0750/
   49,20221101.0755/
   49,20221101.0800/
   48,20221101.0805/
   49,20221101.0810/
   48,20221101.0815/
   49,20221101.0820/
   47,20221101.0825/
   47,20221101.0830/
   46,20221101.0835/
   44,20221101.0840/
   42,20221101.0845/
   40,20221101.0850/
   38,20221101.0855/
   39,20221101.0900/
   39,20221101.0905/
   37,20221101.0910/
   37,20221101.0915/
   37,20221101.0920/
   38,20221101.0925/
   38,20221101.0930/
   36,20221101.0935/
   33,20221101.0940/
   33,20221101.0945/
   33,20221101.0950/
   31,20221101.0955/
   29,20221101.1000/
   29,20221101.1005/
   30,20221101.1010/
   34,20221101.1015/
   32,20221101.1020/
   31,20221101.1025/
   32,20221101.1030/
   31,20221101.1035/
   29,20221101.1040/
   29,20221101.1045/
   31,20221101.1050/
   29,20221101.1055/
   27,20221101.1100/
   29,20221101.1105/
   34,20221101.1110/
   30,20221101.1115/
   25,20221101.1120/
   25,20221101.1125/
   27,20221101.1130/
   26,20221101.1135/
   24,20221101.1140/
   24,20221101.1145/
   25,20221101.1150/
   26,20221101.1155/
   24,20221101.1200/
   27,20221101.1205/
   28,20221101.1210/
   24,20221101.1215/
   23,20221101.1220/
   24,20221101.1225/
   23,20221101.1230/
   22,20221101.1235/
   20,20221101.1240/
   23,20221101.1245/
   24,20221101.1250/
   22,20221101.1255/
   21,20221101.1300/
   23,20221101.1305/
   26,20221101.1310/
   24,20221101.1315/
   23,20221101.1320/
   24,20221101.1325/
   27,20221101.1330/
   24,20221101.1335/
   25,20221101.1340/
   25,20221101.1345/
   26,20221101.1350/
   26,20221101.1355/
   28,20221101.1400/
   26,20221101.1405/
   25,20221101.1410/
   27,20221101.1415/
   32,20221101.1420/
   32,20221101.1425/
   27,20221101.1430/
   28,20221101.1435/
   31,20221101.1440/
   35,20221101.1445/
   32,20221101.1450/
   28,20221101.1455/
   29,20221101.1500/
   30,20221101.1505/
   32,20221101.1510/
   33,20221101.1515/
   34,20221101.1520/
   34,20221101.1525/
   35,20221101.1530/
   36,20221101.1535/
   38,20221101.1540/
   37,20221101.1545/
   35,20221101.1550/
   38,20221101.1555/
   40,20221101.1600/
   38,20221101.1605/
   38,20221101.1610/
   39,20221101.1615/
   42,20221101.1620/
   42,20221101.1625/
   39,20221101.1630/
   39,20221101.1635/
   43,20221101.1640/
   46,20221101.1645/
   43,20221101.1650/
   43,20221101.1655/
   45,20221101.1700/
   48,20221101.1705/
   48,20221101.1710/
   46,20221101.1715/
   46,20221101.1720/
   49,20221101.1725/
   49,20221101.1730/
   49,20221101.1735/
   48,20221101.1740/
   49,20221101.1745/
   49,20221101.1750/
   51,20221101.1755/
   51,20221101.1800/
   52,20221101.1805/
   52,20221101.1810/
   51,20221101.1815/
   55,20221101.1820/
   57,20221101.1825/
   57,20221101.1830/
   57,20221101.1835/
   57,20221101.1840/
   57,20221101.1845/
   60,20221101.1850/
   61,20221101.1855/
   60,20221101.1900/
   61,20221101.1905/
   62,20221101.1910/
   65,20221101.1915/
   65,20221101.1920/
   64,20221101.1925/
   63,20221101.1930/
   63,20221101.1935/
   63,20221101.1940/
   64,20221101.1945/
   64,20221101.1950/
   66,20221101.1955/
   67,20221101.2000/
   66,20221101.2005/
   65,20221101.2010/
   66,20221101.2015/
   66,20221101.2020/
   66,20221101.2025/
   65,20221101.2030/
   66,20221101.2035/
   67,20221101.2040/
   67,20221101.2045/
   68,20221101.2050/
   69,20221101.2055/
   70,20221101.2100/
   70,20221101.2105/
   71,20221101.2110/
   70,20221101.2115/
   71,20221101.2120/
   74,20221101.2125/
   72,20221101.2130/
   72,20221101.2135/
   76,20221101.2140/
   77,20221101.2145/
   74,20221101.2150/
   76,20221101.2155/
   77,20221101.2200/
   73,20221101.2205/
   71,20221101.2210/
   72,20221101.2215/
   75,20221101.2220/
   75,20221101.2225/
   71,20221101.2230/
   74,20221101.2235/
   78,20221101.2240/
   74,20221101.2245/
   72,20221101.2250/
   75,20221101.2255/
   76,20221101.2300/
   73,20221101.2305/
   72,20221101.2310/
   77,20221101.2315/
   79,20221101.2320/
   76,20221101.2325/
   76,20221101.2330/
   80,20221101.2335/
   78,20221101.2340/
   77,20221101.2345/
   78,20221101.2350/
   79,20221101.2355/
   78,20221102.0000/
   77,20221102.0005/
   81,20221102.0010/
   81,20221102.0015/
   78,20221102.0020/
   79,20221102.0025/
   80,20221102.0030/
   78,20221102.0035/
   78,20221102.0040/
   79,20221102.0045/
   78,20221102.0050/
   76,20221102.0055/
   77,20221102.0100/
   77,20221102.0105/
   77,20221102.0110/
   76,20221102.0115/
   76,20221102.0120/
   76,20221102.0125/
   76,20221102.0130/
   75,20221102.0135/
   76,20221102.0140/
   75,20221102.0145/
   75,20221102.0150/
   78,20221102.0155/
   78,20221102.0200/
   76,20221102.0205/
   77,20221102.0210/
   77,20221102.0215/
   75,20221102.0220/
   74,20221102.0225/
   77,20221102.0230/
   77,20221102.0235/
   76,20221102.0240/
   75,20221102.0245/
   78,20221102.0250/
   76,20221102.0255/
   73,20221102.0300/
   76,20221102.0305/
   81,20221102.0310/
   78,20221102.0315/
   77,20221102.0320/
   79,20221102.0325/
   80,20221102.0330/
   78,20221102.0335/
   75,20221102.0340/
   76,20221102.0345/
   78,20221102.0350/
   78,20221102.0355/
   78,20221102.0400/
   78,20221102.0405/
   75,20221102.0410/
   77,20221102.0415/
   78,20221102.0420/
   75,20221102.0425/
   74,20221102.0430/
   76,20221102.0435/
   75,20221102.0440/
   71,20221102.0445/
   70,20221102.0450/
   72,20221102.0455/
   72,20221102.0500/
   71,20221102.0505/
   71,20221102.0510/
   73,20221102.0515/
   75,20221102.0520/
   74,20221102.0525/
   71,20221102.0530/
   71,20221102.0535/
   74,20221102.0540/
   76,20221102.0545/
   76,20221102.0550/
   73,20221102.0555/
   75,20221102.0600/
   75,20221102.0605/
   73,20221102.0610/
   72,20221102.0615/
   73,20221102.0620/
   70,20221102.0625/
   68,20221102.0630/
   70,20221102.0635/
   70,20221102.0640/
   66,20221102.0645/
   65,20221102.0650/
   66,20221102.0655/
   66,20221102.0700/
   63,20221102.0705/
   59,20221102.0710/
   62,20221102.0715/
   62,20221102.0720/
   59,20221102.0725/
   59,20221102.0730/
   61,20221102.0735/
   59,20221102.0740/
   58,20221102.0745/
   57,20221102.0750/
   57,20221102.0755/
   61,20221102.0800/
   62,20221102.0805/
   60,20221102.0810/
   60,20221102.0815/
   61,20221102.0820/
   62,20221102.0825/
   61,20221102.0830/
   58,20221102.0835/
   58,20221102.0840/
   60,20221102.0845/
   58,20221102.0850/
   56,20221102.0855/
   57,20221102.0900/
   57,20221102.0905/
   55,20221102.0910/
   54,20221102.0915/
   53,20221102.0920/
   55,20221102.0925/
   57,20221102.0930/
   52,20221102.0935/
   46,20221102.0940/
   48,20221102.0945/
   51,20221102.0950/
   48,20221102.0955/
   43,20221102.1000/
   43,20221102.1005/
   49,20221102.1010/
   51,20221102.1015/
   45,20221102.1020/
   39,20221102.1025/
   38,20221102.1030/
   41,20221102.1035/
   45,20221102.1040/
   43,20221102.1045/
   39,20221102.1050/
   39,20221102.1055/
   45,20221102.1100/
   48,20221102.1105/
   40,20221102.1110/
   36,20221102.1115/
   41,20221102.1120/
   46,20221102.1125/
   42,20221102.1130/
   38,20221102.1135/
   40,20221102.1140/
   43,20221102.1145/
