#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Sep_2022_Well1.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2022-08-31 23:50:00 to 2022-09-30 23:45:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   84,20220831.2350/
   81,20220831.2355/
   87,20220901.0000/
   87,20220901.0005/
   84,20220901.0010/
   81,20220901.0015/
   83,20220901.0020/
   84,20220901.0025/
   83,20220901.0030/
   81,20220901.0035/
   81,20220901.0040/
   82,20220901.0045/
   80,20220901.0050/
   81,20220901.0055/
   82,20220901.0100/
   80,20220901.0105/
   77,20220901.0110/
   80,20220901.0115/
   81,20220901.0120/
   80,20220901.0125/
   78,20220901.0130/
   80,20220901.0135/
   81,20220901.0140/
   81,20220901.0145/
   76,20220901.0150/
   79,20220901.0155/
   82,20220901.0200/
   81,20220901.0205/
   76,20220901.0210/
   76,20220901.0215/
   78,20220901.0220/
   77,20220901.0225/
   77,20220901.0230/
   75,20220901.0235/
   73,20220901.0240/
   75,20220901.0245/
   79,20220901.0250/
   77,20220901.0255/
   72,20220901.0300/
   70,20220901.0305/
   75,20220901.0310/
   74,20220901.0315/
   71,20220901.0320/
   67,20220901.0325/
   70,20220901.0330/
   73,20220901.0335/
   71,20220901.0340/
   66,20220901.0345/
   64,20220901.0350/
   67,20220901.0355/
   69,20220901.0400/
   66,20220901.0405/
   62,20220901.0410/
   63,20220901.0415/
   65,20220901.0420/
   67,20220901.0425/
   64,20220901.0430/
   62,20220901.0435/
   66,20220901.0440/
   69,20220901.0445/
   67,20220901.0450/
   66,20220901.0455/
   66,20220901.0500/
   64,20220901.0505/
   67,20220901.0510/
   66,20220901.0515/
   65,20220901.0520/
   65,20220901.0525/
   65,20220901.0530/
   66,20220901.0535/
   65,20220901.0540/
   65,20220901.0545/
   62,20220901.0550/
   64,20220901.0555/
