#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Nov_2022_Well2.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2022-10-31 23:50:00 to 2022-11-04 12:00:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   82,20221031.2350/
   81,20221031.2355/
   81,20221101.0000/
   81,20221101.0005/
   80,20221101.0010/
   79,20221101.0015/
   79,20221101.0020/
   80,20221101.0025/
   80,20221101.0030/
   79,20221101.0035/
   79,20221101.0040/
   80,20221101.0045/
   82,20221101.0050/
   82,20221101.0055/
   81,20221101.0100/
   80,20221101.0105/
   81,20221101.0110/
   83,20221101.0115/
   82,20221101.0120/
   81,20221101.0125/
   83,20221101.0130/
   85,20221101.0135/
   82,20221101.0140/
   81,20221101.0145/
   82,20221101.0150/
   84,20221101.0155/
   83,20221101.0200/
   80,20221101.0205/
   82,20221101.0210/
   83,20221101.0215/
   82,20221101.0220/
   80,20221101.0225/
   80,20221101.0230/
   79,20221101.0235/
   78,20221101.0240/
   78,20221101.0245/
   77,20221101.0250/
   76,20221101.0255/
   76,20221101.0300/
   75,20221101.0305/
   76,20221101.0310/
   76,20221101.0315/
   75,20221101.0320/
   77,20221101.0325/
   78,20221101.0330/
   77,20221101.0335/
   75,20221101.0340/
   74,20221101.0345/
   74,20221101.0350/
   74,20221101.0355/
   73,20221101.0400/
   73,20221101.0405/
