#Department of Transport Western Australia, Oceanographic Services
#THIS IS RAW DATA ONLY#
#Data File Name: FBV_Sep_2022_Well2.txt
#Location: Fremantle Fishing Boat Harbour
#The data spans from  (YYYY-MM-DD HH:MM:SS) 2022-08-31 23:50:00 to 2022-09-30 23:45:00
#Station Status: Current
#Lat: -32.065543   Long: 115.748067 (GDA2020)
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949, which is 2.753m below Benchmark DMH 098
#National Station ID: 
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: 2 Guided Wire Microwave Radar Gauge in environment tube Ø150mm.Two separate tubes
#Sensor Details: Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999 
#Contact Email:  tides@transport.wa.gov.au 
#Unit of Height Observations: cm    Sampling Rate (min):5
#
H(cm),YYYYMMDD.hhmm/
   87,20220831.2350/
   83,20220831.2355/
   86,20220901.0000/
   89,20220901.0005/
   86,20220901.0010/
   83,20220901.0015/
   84,20220901.0020/
   85,20220901.0025/
   84,20220901.0030/
   82,20220901.0035/
   82,20220901.0040/
   83,20220901.0045/
   82,20220901.0050/
   83,20220901.0055/
   83,20220901.0100/
   82,20220901.0105/
   79,20220901.0110/
   80,20220901.0115/
   82,20220901.0120/
   81,20220901.0125/
   79,20220901.0130/
   80,20220901.0135/
   82,20220901.0140/
   81,20220901.0145/
   79,20220901.0150/
   79,20220901.0155/
   82,20220901.0200/
   82,20220901.0205/
   78,20220901.0210/
   77,20220901.0215/
   78,20220901.0220/
   78,20220901.0225/
   78,20220901.0230/
   77,20220901.0235/
   75,20220901.0240/
   75,20220901.0245/
   78,20220901.0250/
   79,20220901.0255/
   75,20220901.0300/
   72,20220901.0305/
   74,20220901.0310/
   76,20220901.0315/
   74,20220901.0320/
   70,20220901.0325/
   71,20220901.0330/
   74,20220901.0335/
   73,20220901.0340/
   70,20220901.0345/
   66,20220901.0350/
   67,20220901.0355/
   69,20220901.0400/
   68,20220901.0405/
   65,20220901.0410/
   64,20220901.0415/
   66,20220901.0420/
   68,20220901.0425/
   66,20220901.0430/
   63,20220901.0435/
   65,20220901.0440/
   69,20220901.0445/
   68,20220901.0450/
   67,20220901.0455/
   67,20220901.0500/
   67,20220901.0505/
   67,20220901.0510/
   67,20220901.0515/
   67,20220901.0520/
   67,20220901.0525/
   66,20220901.0530/
   68,20220901.0535/
   67,20220901.0540/
   66,20220901.0545/
   64,20220901.0550/
   65,20220901.0555/
   65,20220901.0600/
   64,20220901.0605/
   62,20220901.0610/
   62,20220901.0615/
   63,20220901.0620/
   61,20220901.0625/
   60,20220901.0630/
   62,20220901.0635/
   61,20220901.0640/
   63,20220901.0645/
   63,20220901.0650/
   61,20220901.0655/
   61,20220901.0700/
   63,20220901.0705/
   64,20220901.0710/
   62,20220901.0715/
   61,20220901.0720/
   63,20220901.0725/
   66,20220901.0730/
   67,20220901.0735/
   65,20220901.0740/
   65,20220901.0745/
   66,20220901.0750/
   66,20220901.0755/
   66,20220901.0800/
   64,20220901.0805/
   63,20220901.0810/
   65,20220901.0815/
   69,20220901.0820/
   69,20220901.0825/
   66,20220901.0830/
   66,20220901.0835/
   67,20220901.0840/
   67,20220901.0845/
   65,20220901.0850/
   64,20220901.0855/
   64,20220901.0900/
   66,20220901.0905/
   65,20220901.0910/
   65,20220901.0915/
   65,20220901.0920/
   65,20220901.0925/
   64,20220901.0930/
   65,20220901.0935/
   67,20220901.0940/
   64,20220901.0945/
   64,20220901.0950/
   66,20220901.0955/
   67,20220901.1000/
   67,20220901.1005/
   67,20220901.1010/
   68,20220901.1015/
   67,20220901.1020/
   68,20220901.1025/
   68,20220901.1030/
   69,20220901.1035/
   68,20220901.1040/
   68,20220901.1045/
   71,20220901.1050/
   74,20220901.1055/
   72,20220901.1100/
   71,20220901.1105/
   73,20220901.1110/
   75,20220901.1115/
   74,20220901.1120/
   74,20220901.1125/
   73,20220901.1130/
   74,20220901.1135/
   75,20220901.1140/
   74,20220901.1145/
   72,20220901.1150/
