#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: PTBAR02_03_2000
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20001124 TO 20001231
#LOCATION: Barrack Street 02
#Station Status:  Updated
#Lat: -31.959694  Long: 115.85725
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle     which is   1.998   m below Benchmark   PWD BM A104   
#National Station ID:   NA
#Site Description: Located on jetty number 5 near ferry landing.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
-9999,20001124.1300/
-9999,20001124.1305/
-9999,20001124.1310/
-9999,20001124.1315/
-9999,20001124.1320/
-9999,20001124.1325/
-9999,20001124.1330/
-9999,20001124.1335/
-9999,20001124.1340/
-9999,20001124.1345/
-9999,20001124.1350/
-9999,20001124.1355/
-9999,20001124.1400/
-9999,20001124.1405/
-9999,20001124.1410/
00083,20001124.1415/
00083,20001124.1420/
00083,20001124.1425/
00083,20001124.1430/
00083,20001124.1435/
00083,20001124.1440/
00083,20001124.1445/
00083,20001124.1450/
00083,20001124.1455/
00083,20001124.1500/
00083,20001124.1505/
00083,20001124.1510/
00083,20001124.1515/
00084,20001124.1520/
00084,20001124.1525/
00085,20001124.1530/
00084,20001124.1535/
00085,20001124.1540/
00085,20001124.1545/
00085,20001124.1550/
00086,20001124.1555/
00085,20001124.1600/
00085,20001124.1605/
00087,20001124.1610/
00087,20001124.1615/
00087,20001124.1620/
00087,20001124.1625/
00087,20001124.1630/
00088,20001124.1635/
00088,20001124.1640/
00089,20001124.1645/
00089,20001124.1650/
00089,20001124.1655/
00090,20001124.1700/
00091,20001124.1705/
00091,20001124.1710/
00091,20001124.1715/
00092,20001124.1720/
00092,20001124.1725/
00093,20001124.1730/
00094,20001124.1735/
00094,20001124.1740/
00095,20001124.1745/
00095,20001124.1750/
00096,20001124.1755/
00096,20001124.1800/
00096,20001124.1805/
00097,20001124.1810/
00097,20001124.1815/
00097,20001124.1820/
00098,20001124.1825/
00098,20001124.1830/
00099,20001124.1835/
00099,20001124.1840/
00099,20001124.1845/
00100,20001124.1850/
00100,20001124.1855/
00101,20001124.1900/
00101,20001124.1905/
00102,20001124.1910/
00102,20001124.1915/
00103,20001124.1920/
00103,20001124.1925/
00104,20001124.1930/
00104,20001124.1935/
00104,20001124.1940/
00105,20001124.1945/
00105,20001124.1950/
00105,20001124.1955/
00106,20001124.2000/
00106,20001124.2005/
00107,20001124.2010/
00107,20001124.2015/
00107,20001124.2020/
00108,20001124.2025/
00109,20001124.2030/
00109,20001124.2035/
00110,20001124.2040/
00110,20001124.2045/
00110,20001124.2050/
00110,20001124.2055/
00111,20001124.2100/
00111,20001124.2105/
00111,20001124.2110/
00111,20001124.2115/
00112,20001124.2120/
00112,20001124.2125/
00113,20001124.2130/
00113,20001124.2135/
00113,20001124.2140/
00113,20001124.2145/
00113,20001124.2150/
00113,20001124.2155/
00113,20001124.2200/
00113,20001124.2205/
00113,20001124.2210/
00114,20001124.2215/
00114,20001124.2220/
00114,20001124.2225/
00114,20001124.2230/
