#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: HLHIL01_01_2001
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20010101 TO 20011231
#LOCATION: Hillarys
#Station Status:  Historical
#Lat: -31.825535  Long: 115.738578
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart Datum     which is   4.895   m below Benchmark   Hamersley   
#National Station ID:   NA
#Site Description: NA
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00089,20010101.0000/
00088,20010101.0015/
00085,20010101.0030/
00085,20010101.0045/
00084,20010101.0100/
00083,20010101.0115/
00084,20010101.0130/
00085,20010101.0145/
00083,20010101.0200/
00081,20010101.0215/
00079,20010101.0230/
00076,20010101.0245/
00074,20010101.0300/
00071,20010101.0315/
00069,20010101.0330/
00067,20010101.0345/
00066,20010101.0400/
00065,20010101.0415/
00065,20010101.0430/
00064,20010101.0445/
00062,20010101.0500/
00060,20010101.0515/
00058,20010101.0530/
00057,20010101.0545/
00055,20010101.0600/
00052,20010101.0615/
00051,20010101.0630/
00051,20010101.0645/
00049,20010101.0700/
00047,20010101.0715/
00047,20010101.0730/
00049,20010101.0745/
00048,20010101.0800/
00047,20010101.0815/
00047,20010101.0830/
00047,20010101.0845/
00048,20010101.0900/
00049,20010101.0915/
00049,20010101.0930/
00050,20010101.0945/
00050,20010101.1000/
00051,20010101.1015/
00052,20010101.1030/
00053,20010101.1045/
00053,20010101.1100/
00054,20010101.1115/
00055,20010101.1130/
00056,20010101.1145/
00057,20010101.1200/
00058,20010101.1215/
00058,20010101.1230/
00058,20010101.1245/
00058,20010101.1300/
00058,20010101.1315/
00059,20010101.1330/
00059,20010101.1345/
00061,20010101.1400/
00064,20010101.1415/
00064,20010101.1430/
00063,20010101.1445/
00063,20010101.1500/
00062,20010101.1515/
00063,20010101.1530/
00064,20010101.1545/
00066,20010101.1600/
00066,20010101.1615/
00067,20010101.1630/
00068,20010101.1645/
00069,20010101.1700/
00069,20010101.1715/
00069,20010101.1730/
00069,20010101.1745/
00070,20010101.1800/
00070,20010101.1815/
00072,20010101.1830/
00073,20010101.1845/
00073,20010101.1900/
00074,20010101.1915/
00074,20010101.1930/
00074,20010101.1945/
00074,20010101.2000/
00075,20010101.2015/
00076,20010101.2030/
00077,20010101.2045/
00077,20010101.2100/
00078,20010101.2115/
00078,20010101.2130/
00077,20010101.2145/
00077,20010101.2200/
00078,20010101.2215/
00078,20010101.2230/
00079,20010101.2245/
00080,20010101.2300/
00081,20010101.2315/
00080,20010101.2330/
00078,20010101.2345/
00077,20010102.0000/
00076,20010102.0015/
00076,20010102.0030/
00076,20010102.0045/
00075,20010102.0100/
00075,20010102.0115/
00075,20010102.0130/
00074,20010102.0145/
00073,20010102.0200/
00071,20010102.0215/
00069,20010102.0230/
00067,20010102.0245/
00065,20010102.0300/
00063,20010102.0315/
00063,20010102.0330/
00062,20010102.0345/
00061,20010102.0400/
00060,20010102.0415/
00059,20010102.0430/
00058,20010102.0445/
00057,20010102.0500/
00056,20010102.0515/
00054,20010102.0530/
00052,20010102.0545/
00049,20010102.0600/
00048,20010102.0615/
00049,20010102.0630/
00048,20010102.0645/
00047,20010102.0700/
00047,20010102.0715/
00047,20010102.0730/
00046,20010102.0745/
00045,20010102.0800/
00044,20010102.0815/
00044,20010102.0830/
00042,20010102.0845/
00043,20010102.0900/
00044,20010102.0915/
00047,20010102.0930/
00048,20010102.0945/
00049,20010102.1000/
00051,20010102.1015/
00051,20010102.1030/
00050,20010102.1045/
00050,20010102.1100/
00051,20010102.1115/
00051,20010102.1130/
00050,20010102.1145/
00051,20010102.1200/
00051,20010102.1215/
00053,20010102.1230/
00056,20010102.1245/
00058,20010102.1300/
00059,20010102.1315/
00060,20010102.1330/
00062,20010102.1345/
00062,20010102.1400/
00062,20010102.1415/
00062,20010102.1430/
00062,20010102.1445/
00063,20010102.1500/
00065,20010102.1515/
00066,20010102.1530/
00067,20010102.1545/
00070,20010102.1600/
00070,20010102.1615/
00072,20010102.1630/
00072,20010102.1645/
00072,20010102.1700/
00071,20010102.1715/
00071,20010102.1730/
00070,20010102.1745/
00070,20010102.1800/
00070,20010102.1815/
00071,20010102.1830/
00072,20010102.1845/
00073,20010102.1900/
00073,20010102.1915/
00073,20010102.1930/
00073,20010102.1945/
00072,20010102.2000/
00072,20010102.2015/
00071,20010102.2030/
00071,20010102.2045/
00072,20010102.2100/
00073,20010102.2115/
00074,20010102.2130/
00074,20010102.2145/
00073,20010102.2200/
00072,20010102.2215/
00073,20010102.2230/
00074,20010102.2245/
00072,20010102.2300/
00072,20010102.2315/
00072,20010102.2330/
00072,20010102.2345/
00072,20010103.0000/
00073,20010103.0015/
00072,20010103.0030/
00072,20010103.0045/
00071,20010103.0100/
00070,20010103.0115/
00070,20010103.0130/
00069,20010103.0145/
00067,20010103.0200/
00066,20010103.0215/
00066,20010103.0230/
00065,20010103.0245/
00065,20010103.0300/
00065,20010103.0315/
00065,20010103.0330/
00063,20010103.0345/
00061,20010103.0400/
00058,20010103.0415/
00058,20010103.0430/
00058,20010103.0445/
00058,20010103.0500/
00057,20010103.0515/
00056,20010103.0530/
00054,20010103.0545/
00053,20010103.0600/
00051,20010103.0615/
00050,20010103.0630/
00051,20010103.0645/
00051,20010103.0700/
00050,20010103.0715/
00050,20010103.0730/
00050,20010103.0745/
00049,20010103.0800/
00047,20010103.0815/
00049,20010103.0830/
00048,20010103.0845/
00049,20010103.0900/
00050,20010103.0915/
00052,20010103.0930/
00052,20010103.0945/
00054,20010103.1000/
00055,20010103.1015/
00053,20010103.1030/
00052,20010103.1045/
00051,20010103.1100/
00052,20010103.1115/
00053,20010103.1130/
00056,20010103.1145/
00058,20010103.1200/
00058,20010103.1215/
00059,20010103.1230/
00059,20010103.1245/
00060,20010103.1300/
00061,20010103.1315/
00061,20010103.1330/
00062,20010103.1345/
00064,20010103.1400/
00065,20010103.1415/
00067,20010103.1430/
00068,20010103.1445/
00070,20010103.1500/
00071,20010103.1515/
00071,20010103.1530/
00072,20010103.1545/
00073,20010103.1600/
00075,20010103.1615/
00075,20010103.1630/
00076,20010103.1645/
00078,20010103.1700/
00078,20010103.1715/
00079,20010103.1730/
00079,20010103.1745/
00078,20010103.1800/
00077,20010103.1815/
00077,20010103.1830/
00075,20010103.1845/
00075,20010103.1900/
00076,20010103.1915/
00077,20010103.1930/
00077,20010103.1945/
00077,20010103.2000/
00077,20010103.2015/
00077,20010103.2030/
00075,20010103.2045/
00074,20010103.2100/
00072,20010103.2115/
00070,20010103.2130/
00069,20010103.2145/
00070,20010103.2200/
00069,20010103.2215/
00069,20010103.2230/
00069,20010103.2245/
00069,20010103.2300/
00067,20010103.2315/
00066,20010103.2330/
00066,20010103.2345/
00065,20010104.0000/
00065,20010104.0015/
00065,20010104.0030/
00064,20010104.0045/
00063,20010104.0100/
00062,20010104.0115/
00062,20010104.0130/
00062,20010104.0145/
00061,20010104.0200/
00060,20010104.0215/
00059,20010104.0230/
00059,20010104.0245/
00058,20010104.0300/
00057,20010104.0315/
00055,20010104.0330/
00054,20010104.0345/
00054,20010104.0400/
00054,20010104.0415/
00053,20010104.0430/
00053,20010104.0445/
00054,20010104.0500/
00053,20010104.0515/
00052,20010104.0530/
00051,20010104.0545/
00050,20010104.0600/
00048,20010104.0615/
00047,20010104.0630/
00048,20010104.0645/
00049,20010104.0700/
00049,20010104.0715/
00049,20010104.0730/
00049,20010104.0745/
00050,20010104.0800/
00049,20010104.0815/
00048,20010104.0830/
00047,20010104.0845/
00048,20010104.0900/
00050,20010104.0915/
00051,20010104.0930/
00053,20010104.0945/
00054,20010104.1000/
00055,20010104.1015/
00053,20010104.1030/
00054,20010104.1045/
00055,20010104.1100/
00056,20010104.1115/
00057,20010104.1130/
00058,20010104.1145/
00060,20010104.1200/
00060,20010104.1215/
00061,20010104.1230/
00064,20010104.1245/
00064,20010104.1300/
00065,20010104.1315/
00068,20010104.1330/
00069,20010104.1345/
00070,20010104.1400/
00070,20010104.1415/
00069,20010104.1430/
00071,20010104.1445/
00072,20010104.1500/
00074,20010104.1515/
00076,20010104.1530/
00078,20010104.1545/
00080,20010104.1600/
00083,20010104.1615/
00084,20010104.1630/
00083,20010104.1645/
00084,20010104.1700/
00084,20010104.1715/
00084,20010104.1730/
00085,20010104.1745/
00086,20010104.1800/
00086,20010104.1815/
00086,20010104.1830/
00085,20010104.1845/
00084,20010104.1900/
00083,20010104.1915/
00081,20010104.1930/
00081,20010104.1945/
00082,20010104.2000/
00082,20010104.2015/
00081,20010104.2030/
00079,20010104.2045/
00077,20010104.2100/
00076,20010104.2115/
00074,20010104.2130/
00072,20010104.2145/
00071,20010104.2200/
00071,20010104.2215/
00069,20010104.2230/
00067,20010104.2245/
00065,20010104.2300/
00065,20010104.2315/
00065,20010104.2330/
00064,20010104.2345/
00063,20010105.0000/
00063,20010105.0015/
00061,20010105.0030/
00060,20010105.0045/
00058,20010105.0100/
00058,20010105.0115/
00055,20010105.0130/
00055,20010105.0145/
00054,20010105.0200/
00055,20010105.0215/
00057,20010105.0230/
00057,20010105.0245/
00056,20010105.0300/
00054,20010105.0315/
00053,20010105.0330/
00052,20010105.0345/
00051,20010105.0400/
00052,20010105.0415/
00052,20010105.0430/
00052,20010105.0445/
00052,20010105.0500/
00051,20010105.0515/
00051,20010105.0530/
00051,20010105.0545/
00052,20010105.0600/
00053,20010105.0615/
00053,20010105.0630/
00052,20010105.0645/
00052,20010105.0700/
00053,20010105.0715/
00055,20010105.0730/
00054,20010105.0745/
00055,20010105.0800/
00054,20010105.0815/
00054,20010105.0830/
00054,20010105.0845/
00054,20010105.0900/
00055,20010105.0915/
00057,20010105.0930/
00059,20010105.0945/
00061,20010105.1000/
00063,20010105.1015/
00063,20010105.1030/
00064,20010105.1045/
00064,20010105.1100/
00062,20010105.1115/
00061,20010105.1130/
00062,20010105.1145/
00063,20010105.1200/
00065,20010105.1215/
00067,20010105.1230/
00070,20010105.1245/
00072,20010105.1300/
00074,20010105.1315/
00075,20010105.1330/
00074,20010105.1345/
00075,20010105.1400/
00076,20010105.1415/
00076,20010105.1430/
00077,20010105.1445/
00078,20010105.1500/
00079,20010105.1515/
00081,20010105.1530/
00083,20010105.1545/
00088,20010105.1600/
00089,20010105.1615/
00090,20010105.1630/
00090,20010105.1645/
00090,20010105.1700/
00091,20010105.1715/
00093,20010105.1730/
00095,20010105.1745/
00096,20010105.1800/
00097,20010105.1815/
00097,20010105.1830/
00097,20010105.1845/
00097,20010105.1900/
00096,20010105.1915/
00094,20010105.1930/
00094,20010105.1945/
00094,20010105.2000/
00094,20010105.2015/
00092,20010105.2030/
00089,20010105.2045/
00086,20010105.2100/
00083,20010105.2115/
00082,20010105.2130/
00082,20010105.2145/
00081,20010105.2200/
00080,20010105.2215/
00077,20010105.2230/
00074,20010105.2245/
00071,20010105.2300/
00069,20010105.2315/
00068,20010105.2330/
00067,20010105.2345/
00065,20010106.0000/
00063,20010106.0015/
00062,20010106.0030/
00062,20010106.0045/
00061,20010106.0100/
00058,20010106.0115/
00056,20010106.0130/
00053,20010106.0145/
00052,20010106.0200/
00051,20010106.0215/
00052,20010106.0230/
00052,20010106.0245/
00051,20010106.0300/
00051,20010106.0315/
00051,20010106.0330/
00050,20010106.0345/
00049,20010106.0400/
00050,20010106.0415/
00049,20010106.0430/
00049,20010106.0445/
00051,20010106.0500/
00051,20010106.0515/
00050,20010106.0530/
00050,20010106.0545/
00049,20010106.0600/
00051,20010106.0615/
00052,20010106.0630/
00052,20010106.0645/
00054,20010106.0700/
00055,20010106.0715/
00054,20010106.0730/
00056,20010106.0745/
00055,20010106.0800/
00058,20010106.0815/
00060,20010106.0830/
00061,20010106.0845/
00061,20010106.0900/
00060,20010106.0915/
00061,20010106.0930/
00061,20010106.0945/
00062,20010106.1000/
00064,20010106.1015/
00065,20010106.1030/
00064,20010106.1045/
00066,20010106.1100/
00067,20010106.1115/
00069,20010106.1130/
00070,20010106.1145/
00070,20010106.1200/
00070,20010106.1215/
00071,20010106.1230/
00071,20010106.1245/
00073,20010106.1300/
00074,20010106.1315/
00075,20010106.1330/
00077,20010106.1345/
00079,20010106.1400/
00081,20010106.1415/
00083,20010106.1430/
00085,20010106.1445/
00087,20010106.1500/
00088,20010106.1515/
00088,20010106.1530/
00091,20010106.1545/
00093,20010106.1600/
00095,20010106.1615/
00097,20010106.1630/
00099,20010106.1645/
00100,20010106.1700/
00101,20010106.1715/
00103,20010106.1730/
00105,20010106.1745/
00107,20010106.1800/
00107,20010106.1815/
00109,20010106.1830/
00109,20010106.1845/
00109,20010106.1900/
00108,20010106.1915/
00108,20010106.1930/
00108,20010106.1945/
00108,20010106.2000/
00107,20010106.2015/
00107,20010106.2030/
00106,20010106.2045/
00104,20010106.2100/
00101,20010106.2115/
00098,20010106.2130/
00093,20010106.2145/
00090,20010106.2200/
00090,20010106.2215/
00087,20010106.2230/
00086,20010106.2245/
00084,20010106.2300/
00083,20010106.2315/
00082,20010106.2330/
00079,20010106.2345/
00075,20010107.0000/
