Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,CSMWQ
Data File Name,6142972_Chlorophyll_c_DATA.csv
Location,data-warehouse/csv/dwer/csmwq
Station Status,Active
Lat,-32.146479719
Long,115.756724048
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6142972
Site Description,6142972
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00132
Data Classification,WQ Grab
Sampling Rate (min),54211.4286
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-c (µg/L)
QC,String
