Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,CSMWQ
Data File Name,6142971_Total_Nitrogen_DATA.csv
Location,data-warehouse/csv/dwer/csmwq
Station Status,Active
Lat,-32.152366474
Long,115.720157614
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6142971
Site Description,6142971
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00009
Data Classification,WQ Grab
Sampling Rate (min),43599.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Total Nitrogen (mg/L)
QC,String
