Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,CSMWQ
Data File Name,6142989_Chlorophyll_b_DATA.csv
Location,data-warehouse/csv/dwer/csmwq
Station Status,Active
Lat,-32.198595247
Long,115.684830758
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6142989
Site Description,6142989
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00131
Data Classification,WQ Grab
Sampling Rate (min),109457.5000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Chlorophyll-b (\mug/L),Decimal
QC,String
