Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,CSMWQ
Data File Name,6142988_Turbidity_DATA.csv
Location,data-warehouse/csv/dwer/csmwq
Station Status,Active
Lat,-32.215296932
Long,115.696612266
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6142988
Site Description,6142988
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00013
Data Classification,WQ Grab
Sampling Rate (min),617.6236
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Turbidity (NTU)
QC,String
