Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,CANEST
Data File Name,6161892_Total_Nitrogen_DATA.csv
Location,data-warehouse/csv/dwer/canest
Station Status,Inactive
Lat,-32.019964176
Long,115.927743642
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6161892
Site Description,6161892
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00009
Data Classification,WQ Grab
Sampling Rate (min),16053.9327
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Total Nitrogen (mg/L),Decimal
QC,String
