Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9091_Wind_Speed_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-31.98890000
Long,115.83110000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9091
Site Description,INNER DOLPHIN PYLON                     
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),30.6674
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Wind Speed (m/s),Decimal
QC,String
