Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9021_Cloud_height_of_fourth_group_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-31.92750000
Long,115.97640000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9021
Site Description,PERTH AIRPORT
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,var00165
Data Classification,MET General
Sampling Rate (min),20317.0929
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Cloud height of fourth group (ft)
QC,String
