Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9225_Horizontal_visibility_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Inactive
Lat,-31.91920000
Long,115.87280000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9225
Site Description,PERTH METRO
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,var00173
Data Classification,MET General
Sampling Rate (min),40.9615
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Horizontal visibility (km)
QC,String
