Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9265_Station_level_pressure_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-31.82560000
Long,115.73860000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9265
Site Description,HILLARYS BOAT HARBOUR NTC AWS
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),30.0445
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Station level pressure (hPa),Decimal
QC,String
