Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9172_Present_weather_in_code_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Inactive
Lat,-32.10110000
Long,115.87940000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9172
Site Description,JANDAKOT AERO
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,⏔
Data Classification,MET General
Sampling Rate (min),4388.5007
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Present weather in code (),Decimal
QC,String
