Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9225_Wet_Bulb_Air_Temperature_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-31.91920000
Long,115.87280000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9225
Site Description,PERTH METRO
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,␉
Data Classification,MET General
Sampling Rate (min),31.5673
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Wet Bulb Air Temperature (^{\circ}C),Decimal
QC,String
