Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9256_Dew_Point_Temperature_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-32.24330000
Long,115.68390000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9256
Site Description,GARDEN ISLAND HSF                       
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),49.5261
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Dew Point Temperature (^{\circ}C),Decimal
QC,String
