Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9215_Wind_Direction_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-31.95600000
Long,115.76190000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9215
Site Description,SWANBOURNE
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,var00129
Data Classification,MET General
Sampling Rate (min),29.3105
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Wind Direction (ø)
QC,String
