Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9172_Ceilometer_sky_clear_flag_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-32.10110000
Long,115.87940000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9172
Site Description,JANDAKOT AERO
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,var00172
Data Classification,MET General
Sampling Rate (min),29.7282
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Ceilometer sky clear flag ()
QC,String
