Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9256_Wind_Direction_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-32.24330000
Long,115.68390000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9256
Site Description,GARDEN ISLAND HSF
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,var00129
Data Classification,MET General
Sampling Rate (min),49.5277
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Wind Direction (ø)
QC,String
