Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9193_Max_Wind_Speed_DATA.csv
Location,data-warehouse/csv/bom/idy
Station Status,Active
Lat,-32.00690000
Long,115.50220000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9193
Site Description,ROTTNEST ISLAND
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Variable ID,⏩
Data Classification,MET General
Sampling Rate (min),34.0959
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Max Wind Speed (m/s),Decimal
QC,String
