Agency Name,Department of Transport
Agency Code,DOT
Program,Coastal Data
Project,Tide
Data File Name,PTBAR02_Tidal_Height.csv
Location,data-warehouse/csv/dot/tide
Station Status,Active
Lat,-31.959681
Long,115.857261
Time Zone,GMT +8
Vertical Datum,LWM Fremantle, which is 2.234m below Benchmark MWB 1484
National Station ID,PTBAR02
Site Description,Barrack Street 02 Tide Station
Bad or Unavailable Data Value,-9999
Contact Email,tides@transport.wa.gov.au
Data Classification,HYDRO Level
Sampling Rate (min),6.8905
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Tidal Height (m),Decimal
QC,String
