Agency Name,Department of Transport
Agency Code,DOT
Program,Coastal Data
Project,Tide
Data File Name,HLHIL01_Tidal_Height.csv
Location,data-warehouse/csv/dot/tide
Station Status,Inactive
Lat,-31.825522
Long,115.738589
Time Zone,GMT +8
Vertical Datum,Chart Datum which is 4.895m below Benchmark Hamersley
National Station ID,HLHIL01
Site Description,Hillarys
Bad or Unavailable Data Value,-9999
Contact Email,tides@transport.wa.gov.au
Variable ID,var00180
Data Classification,HYDRO Level
Sampling Rate (min),16.3519
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Tidal Height (m),Decimal
QC,String
