Agency Name,Department of Transport
Agency Code,DOT
Program,Coastal Data
Project,Tide
Data File Name,FFFBH01_Tidal_Height.csv
Location,data-warehouse/csv/dot/tide
Station Status,Active
Lat,-32.065543
Long,115.748067
Time Zone,GMT +8
Vertical Datum,LWM Fremantle 1949     which is   2.752   m below Benchmark   DMH 098
National Station ID,FFFBH01
Site Description,Fremantle Fishing Boat Harbour Tide Station
Bad or Unavailable Data Value,-9999
Contact Email,tides@transport.wa.gov.au
Variable ID,var00180
Data Classification,HYDRO Level
Sampling Rate (min),5.4048
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Tidal Height (m)
QC,String
