#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: PTBAR02_05_2012
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20121010 TO 20121231
#LOCATION: Barrack Street 02
#Station Status:  Current
#Lat: -31.959694  Long: 115.85725
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle     which is   2.234   m below Benchmark   MWB 1484   
#National Station ID:   NA
#Site Description: Located on jetty number 5 near ferry landing.
#Tide Gauge Sensor:  Guided Wire Microwave Radar Gauge in stilling tube Ø355mm, orifice Ø11mm.
#Sensor Details: VEGA, Vegaflex 61 with Ø4mm cable.
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
-9999,20121010.1100/
-9999,20121010.1105/
-9999,20121010.1110/
-9999,20121010.1115/
-9999,20121010.1120/
00049,20121010.1125/
00049,20121010.1130/
00049,20121010.1135/
00049,20121010.1140/
00048,20121010.1145/
00048,20121010.1150/
00047,20121010.1155/
00048,20121010.1200/
00047,20121010.1205/
00047,20121010.1210/
00047,20121010.1215/
00047,20121010.1220/
00047,20121010.1225/
00046,20121010.1230/
00046,20121010.1235/
00046,20121010.1240/
00046,20121010.1245/
00046,20121010.1250/
00046,20121010.1255/
00045,20121010.1300/
00045,20121010.1305/
00045,20121010.1310/
00045,20121010.1315/
00045,20121010.1320/
00045,20121010.1325/
00044,20121010.1330/
00044,20121010.1335/
00044,20121010.1340/
00043,20121010.1345/
00043,20121010.1350/
00043,20121010.1355/
00043,20121010.1400/
00043,20121010.1405/
00042,20121010.1410/
00042,20121010.1415/
00041,20121010.1420/
00041,20121010.1425/
00041,20121010.1430/
00041,20121010.1435/
00041,20121010.1440/
00040,20121010.1445/
00040,20121010.1450/
00041,20121010.1455/
00041,20121010.1500/
00041,20121010.1505/
00040,20121010.1510/
00041,20121010.1515/
00041,20121010.1520/
00041,20121010.1525/
00041,20121010.1530/
00041,20121010.1535/
00042,20121010.1540/
00042,20121010.1545/
00042,20121010.1550/
00042,20121010.1555/
00043,20121010.1600/
00043,20121010.1605/
00043,20121010.1610/
00043,20121010.1615/
00044,20121010.1620/
00043,20121010.1625/
00043,20121010.1630/
00044,20121010.1635/
00044,20121010.1640/
00044,20121010.1645/
00044,20121010.1650/
00044,20121010.1655/
00044,20121010.1700/
00044,20121010.1705/
00044,20121010.1710/
00045,20121010.1715/
00045,20121010.1720/
00045,20121010.1725/
00045,20121010.1730/
00046,20121010.1735/
