#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: HLHIL01_01_1999
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19990101 TO 19991231
#LOCATION: Hillarys
#Station Status:  Historical
#Lat: -31.825535  Long: 115.738578
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart Datum     which is   4.895   m below Benchmark   Hamersley   
#National Station ID:   NA
#Site Description: NA
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00091,19990101.0000/
00090,19990101.0015/
00085,19990101.0030/
00083,19990101.0045/
00079,19990101.0100/
00077,19990101.0115/
00073,19990101.0130/
00072,19990101.0145/
00066,19990101.0200/
00066,19990101.0215/
00061,19990101.0230/
00060,19990101.0245/
00057,19990101.0300/
00054,19990101.0315/
00049,19990101.0330/
00050,19990101.0345/
00046,19990101.0400/
00046,19990101.0415/
00045,19990101.0430/
00043,19990101.0445/
00042,19990101.0500/
00044,19990101.0515/
00042,19990101.0530/
00042,19990101.0545/
00040,19990101.0600/
00040,19990101.0615/
00040,19990101.0630/
00041,19990101.0645/
00044,19990101.0700/
00044,19990101.0715/
00045,19990101.0730/
00047,19990101.0745/
00048,19990101.0800/
00051,19990101.0815/
00051,19990101.0830/
00054,19990101.0845/
00053,19990101.0900/
00056,19990101.0915/
00055,19990101.0930/
00058,19990101.0945/
00060,19990101.1000/
00063,19990101.1015/
00064,19990101.1030/
00068,19990101.1045/
00068,19990101.1100/
00066,19990101.1115/
00066,19990101.1130/
00066,19990101.1145/
00065,19990101.1200/
00068,19990101.1215/
00068,19990101.1230/
00071,19990101.1245/
00071,19990101.1300/
00071,19990101.1315/
00072,19990101.1330/
00072,19990101.1345/
00074,19990101.1400/
00077,19990101.1415/
00076,19990101.1430/
00078,19990101.1445/
00078,19990101.1500/
00081,19990101.1515/
00083,19990101.1530/
00086,19990101.1545/
00088,19990101.1600/
00090,19990101.1615/
00091,19990101.1630/
00095,19990101.1645/
00096,19990101.1700/
00095,19990101.1715/
00097,19990101.1730/
00100,19990101.1745/
00103,19990101.1800/
00106,19990101.1815/
00109,19990101.1830/
00112,19990101.1845/
00114,19990101.1900/
00113,19990101.1915/
00111,19990101.1930/
00109,19990101.1945/
00110,19990101.2000/
00112,19990101.2015/
00114,19990101.2030/
00117,19990101.2045/
00118,19990101.2100/
00119,19990101.2115/
00114,19990101.2130/
00112,19990101.2145/
00109,19990101.2200/
00107,19990101.2215/
00103,19990101.2230/
00104,19990101.2245/
00102,19990101.2300/
00101,19990101.2315/
00098,19990101.2330/
00096,19990101.2345/
00091,19990102.0000/
00087,19990102.0015/
00081,19990102.0030/
00079,19990102.0045/
00074,19990102.0100/
00072,19990102.0115/
00069,19990102.0130/
00067,19990102.0145/
00064,19990102.0200/
00059,19990102.0215/
00057,19990102.0230/
00053,19990102.0245/
00049,19990102.0300/
00045,19990102.0315/
00042,19990102.0330/
00041,19990102.0345/
00039,19990102.0400/
00039,19990102.0415/
00036,19990102.0430/
00034,19990102.0445/
00032,19990102.0500/
00031,19990102.0515/
00029,19990102.0530/
00029,19990102.0545/
00031,19990102.0600/
00029,19990102.0615/
00028,19990102.0630/
00032,19990102.0645/
00028,19990102.0700/
00029,19990102.0715/
00029,19990102.0730/
00029,19990102.0745/
00031,19990102.0800/
00032,19990102.0815/
00033,19990102.0830/
00037,19990102.0845/
00039,19990102.0900/
00042,19990102.0915/
00043,19990102.0930/
00045,19990102.0945/
00046,19990102.1000/
00046,19990102.1015/
00048,19990102.1030/
00051,19990102.1045/
