Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANCATCH
Data File Name,616088_Discharge_DATA.csv
Location,data-warehouse/csv/dwer/swancatch
Station Status,Active
Lat,-31.862700965
Long,116.013984561
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,616088
Site Description,616088
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),1542.9059
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Discharge (ML),Decimal
QC,String
