#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: RKMGL01_01_2002
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20020101 TO 20021231
#LOCATION: Mangles Bay
#Station Status:  Updated
#Lat: -32.274444  Long: 115.703333
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart datum     which is   2.527   m below Benchmark   DMH 073   
#National Station ID:   NA
#Site Description: Located on a Historical (Temporary) platform within  the mooring area. Roughly 50 metres off shore and in line with the yacht club fence. Accessible by boat.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Data Recorder Details: Punchtape, NA, NA
#Reading Status: NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
90,20020101.0000/
88,20020101.0015/
85,20020101.0030/
81,20020101.0045/
77,20020101.0100/
73,20020101.0115/
70,20020101.0130/
64,20020101.0145/
61,20020101.0200/
60,20020101.0215/
57,20020101.0230/
53,20020101.0245/
52,20020101.0300/
48,20020101.0315/
45,20020101.0330/
41,20020101.0345/
37,20020101.0400/
32,20020101.0415/
28,20020101.0430/
26,20020101.0445/
27,20020101.0500/
29,20020101.0515/
26,20020101.0530/
23,20020101.0545/
20,20020101.0600/
17,20020101.0615/
12,20020101.0630/
12,20020101.0645/
10,20020101.0700/
12,20020101.0715/
13,20020101.0730/
14,20020101.0745/
17,20020101.0800/
17,20020101.0815/
19,20020101.0830/
22,20020101.0845/
19,20020101.0900/
22,20020101.0915/
22,20020101.0930/
22,20020101.0945/
27,20020101.1000/
29,20020101.1015/
29,20020101.1030/
31,20020101.1045/
30,20020101.1100/
32,20020101.1115/
32,20020101.1130/
33,20020101.1145/
34,20020101.1200/
36,20020101.1215/
39,20020101.1230/
40,20020101.1245/
40,20020101.1300/
39,20020101.1315/
40,20020101.1330/
40,20020101.1345/
41,20020101.1400/
43,20020101.1415/
44,20020101.1430/
45,20020101.1445/
45,20020101.1500/
44,20020101.1515/
44,20020101.1530/
45,20020101.1545/
47,20020101.1600/
51,20020101.1615/
56,20020101.1630/
59,20020101.1645/
62,20020101.1700/
63,20020101.1715/
63,20020101.1730/
65,20020101.1745/
67,20020101.1800/
68,20020101.1815/
71,20020101.1830/
75,20020101.1845/
77,20020101.1900/
77,20020101.1915/
79,20020101.1930/
81,20020101.1945/
83,20020101.2000/
87,20020101.2015/
88,20020101.2030/
87,20020101.2045/
91,20020101.2100/
93,20020101.2115/
95,20020101.2130/
96,20020101.2145/
96,20020101.2200/
93,20020101.2215/
92,20020101.2230/
91,20020101.2245/
89,20020101.2300/
89,20020101.2315/
89,20020101.2330/
91,20020101.2345/
