#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: RKMGL01_01_1991
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19910815 TO 19911231
#LOCATION: Mangles Bay
#Station Status:  Updated
#Lat: -32.274444  Long: 115.703333
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart datum     which is   2.527   m below Benchmark   DMH 073   
#National Station ID:   NA
#Site Description: Located on a Historical (Temporary) platform within  the mooring area. Roughly 50 metres off shore and in line with the yacht club fence. Accessible by boat.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
-9999,19910815.1200/
-9999,19910815.1215/
-9999,19910815.1230/
-9999,19910815.1245/
00049,19910815.1300/
00047,19910815.1315/
00047,19910815.1330/
00052,19910815.1345/
00054,19910815.1400/
00057,19910815.1415/
00056,19910815.1430/
00056,19910815.1445/
00055,19910815.1500/
00053,19910815.1515/
00052,19910815.1530/
00052,19910815.1545/
00053,19910815.1600/
00052,19910815.1615/
00052,19910815.1630/
00052,19910815.1645/
00054,19910815.1700/
00054,19910815.1715/
00055,19910815.1730/
00055,19910815.1745/
00056,19910815.1800/
00057,19910815.1815/
00058,19910815.1830/
00057,19910815.1845/
00061,19910815.1900/
00059,19910815.1915/
00063,19910815.1930/
00065,19910815.1945/
00067,19910815.2000/
00071,19910815.2015/
00073,19910815.2030/
00076,19910815.2045/
00079,19910815.2100/
00082,19910815.2115/
00082,19910815.2130/
00083,19910815.2145/
00084,19910815.2200/
00081,19910815.2215/
00083,19910815.2230/
00083,19910815.2245/
00083,19910815.2300/
00087,19910815.2315/
00089,19910815.2330/
00093,19910815.2345/
00095,19910816.0000/
00095,19910816.0015/
00094,19910816.0030/
00092,19910816.0045/
00088,19910816.0100/
00087,19910816.0115/
00088,19910816.0130/
00088,19910816.0145/
00088,19910816.0200/
00093,19910816.0215/
00093,19910816.0230/
00097,19910816.0245/
00094,19910816.0300/
00093,19910816.0315/
00090,19910816.0330/
00087,19910816.0345/
00086,19910816.0400/
00082,19910816.0415/
00083,19910816.0430/
00082,19910816.0445/
00082,19910816.0500/
00082,19910816.0515/
00086,19910816.0530/
00085,19910816.0545/
00085,19910816.0600/
00084,19910816.0615/
00082,19910816.0630/
00078,19910816.0645/
00077,19910816.0700/
00079,19910816.0715/
00081,19910816.0730/
00080,19910816.0745/
00081,19910816.0800/
00080,19910816.0815/
00080,19910816.0830/
00078,19910816.0845/
00078,19910816.0900/
00078,19910816.0915/
00075,19910816.0930/
00075,19910816.0945/
00072,19910816.1000/
00070,19910816.1015/
00069,19910816.1030/
00068,19910816.1045/
00068,19910816.1100/
00067,19910816.1115/
00068,19910816.1130/
00069,19910816.1145/
00067,19910816.1200/
00067,19910816.1215/
00065,19910816.1230/
00063,19910816.1245/
00063,19910816.1300/
00063,19910816.1315/
00062,19910816.1330/
00063,19910816.1345/
00065,19910816.1400/
00065,19910816.1415/
00064,19910816.1430/
00066,19910816.1445/
00067,19910816.1500/
00065,19910816.1515/
00066,19910816.1530/
00063,19910816.1545/
00062,19910816.1600/
00062,19910816.1615/
00062,19910816.1630/
00062,19910816.1645/
00062,19910816.1700/
00063,19910816.1715/
00065,19910816.1730/
00066,19910816.1745/
00067,19910816.1800/
00067,19910816.1815/
00065,19910816.1830/
00067,19910816.1845/
00070,19910816.1900/
00069,19910816.1915/
00070,19910816.1930/
00074,19910816.1945/
00075,19910816.2000/
00080,19910816.2015/
00082,19910816.2030/
00084,19910816.2045/
00088,19910816.2100/
00089,19910816.2115/
00091,19910816.2130/
00092,19910816.2145/
00091,19910816.2200/
00090,19910816.2215/
00091,19910816.2230/
00090,19910816.2245/
00093,19910816.2300/
00093,19910816.2315/
00096,19910816.2330/
00098,19910816.2345/
00100,19910817.0000/
00100,19910817.0015/
00100,19910817.0030/
00097,19910817.0045/
00094,19910817.0100/
00093,19910817.0115/
00093,19910817.0130/
00093,19910817.0145/
00096,19910817.0200/
00096,19910817.0215/
00098,19910817.0230/
00097,19910817.0245/
00096,19910817.0300/
00096,19910817.0315/
00097,19910817.0330/
00095,19910817.0345/
00093,19910817.0400/
00091,19910817.0415/
00093,19910817.0430/
00092,19910817.0445/
00090,19910817.0500/
00088,19910817.0515/
00089,19910817.0530/
00088,19910817.0545/
00087,19910817.0600/
00085,19910817.0615/
00084,19910817.0630/
00087,19910817.0645/
00087,19910817.0700/
00087,19910817.0715/
00082,19910817.0730/
00081,19910817.0745/
00081,19910817.0800/
00079,19910817.0815/
00077,19910817.0830/
00076,19910817.0845/
00078,19910817.0900/
00077,19910817.0915/
00083,19910817.0930/
00081,19910817.0945/
00079,19910817.1000/
00075,19910817.1015/
00072,19910817.1030/
00071,19910817.1045/
00069,19910817.1100/
00070,19910817.1115/
00067,19910817.1130/
00067,19910817.1145/
00068,19910817.1200/
00066,19910817.1215/
00062,19910817.1230/
00062,19910817.1245/
00063,19910817.1300/
00064,19910817.1315/
00064,19910817.1330/
00062,19910817.1345/
00063,19910817.1400/
00061,19910817.1415/
00061,19910817.1430/
00059,19910817.1445/
00059,19910817.1500/
00059,19910817.1515/
00060,19910817.1530/
00061,19910817.1545/
00060,19910817.1600/
00059,19910817.1615/
00059,19910817.1630/
00060,19910817.1645/
00060,19910817.1700/
00059,19910817.1715/
00065,19910817.1730/
00067,19910817.1745/
00071,19910817.1800/
00074,19910817.1815/
00070,19910817.1830/
00071,19910817.1845/
00068,19910817.1900/
00069,19910817.1915/
00068,19910817.1930/
00072,19910817.1945/
00075,19910817.2000/
00079,19910817.2015/
00085,19910817.2030/
00088,19910817.2045/
00094,19910817.2100/
00099,19910817.2115/
00097,19910817.2130/
00096,19910817.2145/
00096,19910817.2200/
00092,19910817.2215/
00089,19910817.2230/
00092,19910817.2245/
00092,19910817.2300/
00097,19910817.2315/
00099,19910817.2330/
00099,19910817.2345/
00101,19910818.0000/
00100,19910818.0015/
00098,19910818.0030/
00097,19910818.0045/
00096,19910818.0100/
00100,19910818.0115/
00100,19910818.0130/
00099,19910818.0145/
00101,19910818.0200/
00099,19910818.0215/
00102,19910818.0230/
00103,19910818.0245/
00101,19910818.0300/
00101,19910818.0315/
00103,19910818.0330/
00099,19910818.0345/
00098,19910818.0400/
00096,19910818.0415/
00095,19910818.0430/
00093,19910818.0445/
00096,19910818.0500/
00096,19910818.0515/
00098,19910818.0530/
00096,19910818.0545/
00096,19910818.0600/
00094,19910818.0615/
00089,19910818.0630/
00083,19910818.0645/
00083,19910818.0700/
00082,19910818.0715/
00086,19910818.0730/
00088,19910818.0745/
00089,19910818.0800/
00082,19910818.0815/
00078,19910818.0830/
00078,19910818.0845/
00071,19910818.0900/
00073,19910818.0915/
00074,19910818.0930/
00072,19910818.0945/
00072,19910818.1000/
00072,19910818.1015/
00071,19910818.1030/
00065,19910818.1045/
00064,19910818.1100/
00061,19910818.1115/
00062,19910818.1130/
00061,19910818.1145/
00060,19910818.1200/
00059,19910818.1215/
00057,19910818.1230/
00052,19910818.1245/
00049,19910818.1300/
00050,19910818.1315/
00052,19910818.1330/
00057,19910818.1345/
00053,19910818.1400/
00049,19910818.1415/
00047,19910818.1430/
00047,19910818.1445/
00048,19910818.1500/
00043,19910818.1515/
00045,19910818.1530/
00046,19910818.1545/
00050,19910818.1600/
00051,19910818.1615/
00050,19910818.1630/
00051,19910818.1645/
00048,19910818.1700/
00047,19910818.1715/
00046,19910818.1730/
00051,19910818.1745/
00052,19910818.1800/
00054,19910818.1815/
00055,19910818.1830/
00055,19910818.1845/
