AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
mafrl_CS4,CS4,Cockburn Sound northern end deep,CS4,376829,6441686,-32.155,115.694,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS5,CS5,Cockburn Sound northern end deep,CS5,379308,6441958,-32.152,115.72,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS6A,CS6A,"Outside Northern Harbour, (replaced CS6)",CS6A,382749,6442651,-32.146,115.757,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS7,CS7,Jervoise Channel south of Southern Harbour,CS7,383323,6439972,-32.171,115.762,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS8,CS8,Cockburn Sound central basin,CS8,379337,6436947,-32.198,115.72,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS9,CS9,Kwinana Bulk Terminal (KBB2),CS9,383098,6435629,-32.21,115.76,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS10N,CS10N,Bulk Grain Terminal (CBH)(replaced CS10),CS10N,381593,6430569,-32.255,115.743,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS11,CS11,Mangles Bay deep water basin,CS11,378890,6429753,-32.262,115.714,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS12,CS12,Calista Channel WC Desalination Plant,CS12,383677,6436972,-32.198,115.766,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS9A,CS9A,Kwinana Bulk Jetty (KBJ),CS9A,382367,6432396,-32.239,115.751,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_G1,G1,Careening Bay HMAS Stirling,G1,377121,6433158,-32.231,115.696,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_G2,G2,Garden Island central HMAS Stirling,G2,376039,6436793,-32.199,115.685,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_G3,G3,Garden Island north HMAS Stirling,G3,375728,6441317,-32.158,115.682,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_WS4,WS4,Warnbro Sound central basin,WS4,379741,6421498,-32.337,115.722,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_WSSB,WSSB,Warnbro Sound Safety Bay shallow,WSSB,378444,6424599,-32.309,115.709,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
MAFRL_WSSB_L,WSSB-L,Warnbro Sound Safety Bay -  light,WSSB-L,379163,6423892,-32.315,115.716,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_NH3,NH3,Northern Harbour Jervoise Bay,NH3,383291,6443373,-32.14,115.763,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_SF,SF,Southern Flats shallow,SF,378716,6431322,-32.248,115.713,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_SF_L,SF-L,Southern Flats -  light attenuation / Secchi,SF-L,378627,6432177,-32.241,115.712,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CB,CB,Challenger Beach bank,CB,381133,6438605,-32.183,115.739,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_CS13,CS13,Cockburn Sound southern deep water,CS13,380207,6431054,-32.251,115.728,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_MB,MB,Mangles Bay shallow near shore,MB,378085,6428341,-32.275,115.705,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_MB_L,MB-L,Mangles Bay -  light attenuation / Secchi,MB-L,378164,6429077,-32.268,115.706,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
mafrl_NC,NC,North Control removed 1/12/2002,NC,372954,6443318,-32.139,115.653,CSMC,Cockburn Sound Management Council,WQ_light,Turbidity and extinction,,,CSMC WQ
