#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: RKMGL01_01_1996
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19960101 TO 19961231
#LOCATION: Mangles Bay
#Station Status:  Updated
#Lat: -32.274444  Long: 115.703333
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: Chart datum     which is   2.527   m below Benchmark   DMH 073   
#National Station ID:   NA
#Site Description: Located on a Historical (Temporary) platform within  the mooring area. Roughly 50 metres off shore and in line with the yacht club fence. Accessible by boat.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00053,19960101.0000/
00053,19960101.0015/
00052,19960101.0030/
00052,19960101.0045/
00049,19960101.0100/
00048,19960101.0115/
00045,19960101.0130/
00043,19960101.0145/
00042,19960101.0200/
00038,19960101.0215/
00040,19960101.0230/
00041,19960101.0245/
00039,19960101.0300/
00040,19960101.0315/
00039,19960101.0330/
00041,19960101.0345/
00038,19960101.0400/
00035,19960101.0415/
00034,19960101.0430/
00033,19960101.0445/
00032,19960101.0500/
00033,19960101.0515/
00032,19960101.0530/
00035,19960101.0545/
00036,19960101.0600/
00040,19960101.0615/
00041,19960101.0630/
00040,19960101.0645/
00041,19960101.0700/
00040,19960101.0715/
00042,19960101.0730/
00041,19960101.0745/
00038,19960101.0800/
00040,19960101.0815/
00043,19960101.0830/
00047,19960101.0845/
00047,19960101.0900/
00051,19960101.0915/
00054,19960101.0930/
00053,19960101.0945/
00051,19960101.1000/
00051,19960101.1015/
00053,19960101.1030/
00056,19960101.1045/
00059,19960101.1100/
00060,19960101.1115/
00058,19960101.1130/
00058,19960101.1145/
00060,19960101.1200/
00062,19960101.1215/
00066,19960101.1230/
00067,19960101.1245/
00068,19960101.1300/
00068,19960101.1315/
00068,19960101.1330/
00068,19960101.1345/
00069,19960101.1400/
00071,19960101.1415/
00071,19960101.1430/
00072,19960101.1445/
00074,19960101.1500/
00075,19960101.1515/
00078,19960101.1530/
00082,19960101.1545/
00083,19960101.1600/
00085,19960101.1615/
00085,19960101.1630/
00084,19960101.1645/
00088,19960101.1700/
00088,19960101.1715/
00088,19960101.1730/
00088,19960101.1745/
00088,19960101.1800/
00090,19960101.1815/
00093,19960101.1830/
00095,19960101.1845/
00095,19960101.1900/
00095,19960101.1915/
