AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
aims_2960,2960,Burns Rock,BURNSFL1,-1,-1,-31.7276,115.7058,AIMS,Australian Institute of Marine Science,WQ_physical,Fixed-depth sensor,active,,AIMS SWT
aims_3260,3260,Centaur Reef,CENTAUR1,-1,-1,-31.8527,115.7104,AIMS,Australian Institute of Marine Science,WQ_physical,Fixed-depth sensor,active,,AIMS SWT
aims_2901,2901,Bird Island,BIRD,-1,-1,-32.2768,115.6867,AIMS,Australian Institute of Marine Science,WQ_physical,Fixed-depth sensor,active,,AIMS SWT
aims_2461,2461,Penguin Is East,PENGUIN,-1,-1,-32.3015,115.6938,AIMS,Australian Institute of Marine Science,WQ_physical,Fixed-depth sensor,active,,AIMS SWT
aims_2460,2460,Becher Pt SZ,BECHER,-1,-1,-32.3723,115.7061,AIMS,Australian Institute of Marine Science,WQ_physical,Fixed-depth sensor,active,,AIMS SWT
bom9265,BOM9265,Hillarys Boat Harbour,HILLARYS_BOAT_HARBOUR_NTC_AWS,-1,-1,-31.8256,115.7386,BOM,Bureau of Meteorology,WQ_physical,Fixed-depth sensor,active,0,BOM IDO
csiro_FR198704_2,FR198704_2,FR198704_2,FR198704_2,-1,-1,-31.92,115.65333,CSIRO,Commonwealth Scientific and Industrial Research Organisation,WQ_physical,Profiles,,,CSIRO O&ACTD
csiro_FR198704_3,FR198704_3,FR198704_3,FR198704_3,-1,-1,-31.93817,115.48583,CSIRO,Commonwealth Scientific and Industrial Research Organisation,WQ_physical,Profiles,,,CSIRO O&ACTD
csiro_FR198704_4,FR198704_4,FR198704_4,FR198704_4,-1,-1,-31.94483,115.3755,CSIRO,Commonwealth Scientific and Industrial Research Organisation,WQ_physical,Profiles,,,CSIRO O&ACTD
csiro_FR199411_59,FR199411_59,FR199411_59,FR199411_59,-1,-1,-32.16667,115.52933,CSIRO,Commonwealth Scientific and Industrial Research Organisation,WQ_physical,Profiles,,,CSIRO O&ACTD
csiro_FR199411_68,FR199411_68,FR199411_68,FR199411_68,-1,-1,-31.82417,115.48467,CSIRO,Commonwealth Scientific and Industrial Research Organisation,WQ_physical,Profiles,,,CSIRO O&ACTD
csiro_FR199411_69,FR199411_69,FR199411_69,FR199411_69,-1,-1,-31.82383,115.58733,CSIRO,Commonwealth Scientific and Industrial Research Organisation,WQ_physical,Profiles,,,CSIRO O&ACTD
csiro_FR199411_70,FR199411_70,FR199411_70,FR199411_70,-1,-1,-31.823,115.65717,CSIRO,Commonwealth Scientific and Industrial Research Organisation,WQ_physical,Profiles,,,CSIRO O&ACTD
