#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: FFFBH01_02_1990
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19900101 TO 19901231
#LOCATION: Fremantle Fishing Boat Harbour
#Station Status:  Updated
#Lat: -32.065556  Long: 115.748056
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle 1949     which is   2.752   m below Benchmark   DMH 098   
#National Station ID:      NA
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00099,19900101.0000/
00098,19900101.0015/
00099,19900101.0030/
00096,19900101.0045/
00094,19900101.0100/
00092,19900101.0115/
00091,19900101.0130/
00089,19900101.0145/
00082,19900101.0200/
00079,19900101.0215/
00080,19900101.0230/
00081,19900101.0245/
00077,19900101.0300/
00072,19900101.0315/
00071,19900101.0330/
00070,19900101.0345/
00069,19900101.0400/
00065,19900101.0415/
00060,19900101.0430/
00057,19900101.0445/
00054,19900101.0500/
00052,19900101.0515/
00050,19900101.0530/
00051,19900101.0545/
00050,19900101.0600/
00049,19900101.0615/
00045,19900101.0630/
00047,19900101.0645/
00050,19900101.0700/
00045,19900101.0715/
00044,19900101.0730/
00044,19900101.0745/
00044,19900101.0800/
00043,19900101.0815/
00042,19900101.0830/
00040,19900101.0845/
00042,19900101.0900/
00048,19900101.0915/
00050,19900101.0930/
00052,19900101.0945/
00052,19900101.1000/
00052,19900101.1015/
00054,19900101.1030/
00048,19900101.1045/
00048,19900101.1100/
00052,19900101.1115/
00050,19900101.1130/
00054,19900101.1145/
00059,19900101.1200/
00061,19900101.1215/
00063,19900101.1230/
00060,19900101.1245/
00061,19900101.1300/
00063,19900101.1315/
00061,19900101.1330/
00061,19900101.1345/
00061,19900101.1400/
00064,19900101.1415/
00063,19900101.1430/
00064,19900101.1445/
00061,19900101.1500/
00068,19900101.1515/
00068,19900101.1530/
00064,19900101.1545/
00063,19900101.1600/
00066,19900101.1615/
00064,19900101.1630/
00068,19900101.1645/
00070,19900101.1700/
00067,19900101.1715/
00068,19900101.1730/
00068,19900101.1745/
00072,19900101.1800/
00077,19900101.1815/
00073,19900101.1830/
00074,19900101.1845/
00074,19900101.1900/
00083,19900101.1915/
00083,19900101.1930/
00079,19900101.1945/
00083,19900101.2000/
00089,19900101.2015/
00084,19900101.2030/
00086,19900101.2045/
00087,19900101.2100/
00089,19900101.2115/
00089,19900101.2130/
00091,19900101.2145/
00088,19900101.2200/
00090,19900101.2215/
00094,19900101.2230/
00092,19900101.2245/
00092,19900101.2300/
00097,19900101.2315/
00091,19900101.2330/
00092,19900101.2345/
00095,19900102.0000/
00090,19900102.0015/
00090,19900102.0030/
00090,19900102.0045/
00090,19900102.0100/
00089,19900102.0115/
00090,19900102.0130/
00090,19900102.0145/
00088,19900102.0200/
00084,19900102.0215/
00080,19900102.0230/
00078,19900102.0245/
00082,19900102.0300/
00076,19900102.0315/
00071,19900102.0330/
00071,19900102.0345/
00069,19900102.0400/
00062,19900102.0415/
00060,19900102.0430/
00064,19900102.0445/
00064,19900102.0500/
00060,19900102.0515/
00061,19900102.0530/
00057,19900102.0545/
00056,19900102.0600/
00054,19900102.0615/
00050,19900102.0630/
00051,19900102.0645/
00051,19900102.0700/
00046,19900102.0715/
00049,19900102.0730/
00055,19900102.0745/
00051,19900102.0800/
00049,19900102.0815/
00051,19900102.0830/
00051,19900102.0845/
00048,19900102.0900/
00046,19900102.0915/
00047,19900102.0930/
00049,19900102.0945/
00051,19900102.1000/
00054,19900102.1015/
00052,19900102.1030/
00054,19900102.1045/
00057,19900102.1100/
00057,19900102.1115/
00057,19900102.1130/
00057,19900102.1145/
00056,19900102.1200/
00057,19900102.1215/
00055,19900102.1230/
00055,19900102.1245/
00058,19900102.1300/
00060,19900102.1315/
00063,19900102.1330/
00068,19900102.1345/
00068,19900102.1400/
00067,19900102.1415/
00064,19900102.1430/
00062,19900102.1445/
00065,19900102.1500/
00062,19900102.1515/
00061,19900102.1530/
00063,19900102.1545/
00066,19900102.1600/
00068,19900102.1615/
00069,19900102.1630/
00068,19900102.1645/
00069,19900102.1700/
00068,19900102.1715/
00064,19900102.1730/
00062,19900102.1745/
00064,19900102.1800/
00065,19900102.1815/
00069,19900102.1830/
00072,19900102.1845/
00071,19900102.1900/
00074,19900102.1915/
00073,19900102.1930/
00073,19900102.1945/
00075,19900102.2000/
00073,19900102.2015/
00074,19900102.2030/
00074,19900102.2045/
00073,19900102.2100/
00075,19900102.2115/
00078,19900102.2130/
00078,19900102.2145/
00079,19900102.2200/
00077,19900102.2215/
00077,19900102.2230/
00079,19900102.2245/
00077,19900102.2300/
00079,19900102.2315/
00078,19900102.2330/
00074,19900102.2345/
00072,19900103.0000/
00072,19900103.0015/
00072,19900103.0030/
00071,19900103.0045/
00073,19900103.0100/
00074,19900103.0115/
00075,19900103.0130/
00076,19900103.0145/
00075,19900103.0200/
00069,19900103.0215/
00065,19900103.0230/
00063,19900103.0245/
00061,19900103.0300/
00058,19900103.0315/
00059,19900103.0330/
00060,19900103.0345/
00056,19900103.0400/
00056,19900103.0415/
00056,19900103.0430/
00053,19900103.0445/
00049,19900103.0500/
00047,19900103.0515/
00045,19900103.0530/
00045,19900103.0545/
00042,19900103.0600/
00043,19900103.0615/
00044,19900103.0630/
00043,19900103.0645/
00043,19900103.0700/
00043,19900103.0715/
00043,19900103.0730/
00043,19900103.0745/
00043,19900103.0800/
00039,19900103.0815/
00039,19900103.0830/
00039,19900103.0845/
00037,19900103.0900/
00043,19900103.0915/
00043,19900103.0930/
00043,19900103.0945/
00048,19900103.1000/
00051,19900103.1015/
00046,19900103.1030/
00050,19900103.1045/
00051,19900103.1100/
00051,19900103.1115/
00053,19900103.1130/
00054,19900103.1145/
00055,19900103.1200/
00056,19900103.1215/
00059,19900103.1230/
00062,19900103.1245/
00063,19900103.1300/
00063,19900103.1315/
00063,19900103.1330/
00065,19900103.1345/
00066,19900103.1400/
00065,19900103.1415/
00064,19900103.1430/
00065,19900103.1445/
00064,19900103.1500/
00065,19900103.1515/
00065,19900103.1530/
00066,19900103.1545/
00065,19900103.1600/
00065,19900103.1615/
00068,19900103.1630/
00065,19900103.1645/
00063,19900103.1700/
00062,19900103.1715/
00063,19900103.1730/
00065,19900103.1745/
00064,19900103.1800/
00060,19900103.1815/
00059,19900103.1830/
00062,19900103.1845/
00064,19900103.1900/
00063,19900103.1915/
00060,19900103.1930/
00062,19900103.1945/
00066,19900103.2000/
00066,19900103.2015/
00064,19900103.2030/
00063,19900103.2045/
00064,19900103.2100/
00062,19900103.2115/
00061,19900103.2130/
00057,19900103.2145/
00058,19900103.2200/
00057,19900103.2215/
00056,19900103.2230/
00058,19900103.2245/
00060,19900103.2300/
00060,19900103.2315/
00063,19900103.2330/
