Agency_Name,Agency_Code,Program_Name,Program_Code,Tag,Data_File_Name,Data_File_Location,Status,Lat,Lon,Time_Zone,Vertical_Datum,Station_ID,Site_Description,Deployment,Deployment_Position,Vertical_Reference,Site_Mean_Depth,Bad_Data_Code,Email,Variable_ID,DataCategory,Sampling_Rate,Date_Format,Depth_Format,Variable_Name,QC_Code,X,Y,calc_SMD,mAHD
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616011_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Active,-31.750532,116.068524,GMT +8,mAHD,616011,616011,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,411777.980445462,6486838.02027882,-17.0000,17.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616027_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Active,-32.092305,116.016772,GMT +8,mAHD,616027,616027,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,407220.022964393,6448909.94945619,-17.0000,17.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616076_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Inactive,-31.781685,116.022904,GMT +8,mAHD,616076,616076,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,407488.037128747,6483346.97266086,-14.0000,14.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616082_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Active,-31.924246,115.921949,GMT +8,mAHD,616082,616082,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,398086.017505138,6467453.97673197,-16.0000,16.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616084_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Active,-31.877703,115.959526,GMT +8,mAHD,616084,616084,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,401589.03447113,6472647.94933755,-9.0000,9.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616086_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Active,-31.900081,116.007611,GMT +8,mAHD,616086,616086,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,406159.956216597,6470210.00998827,-14.0000,14.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616087_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Inactive,-31.948283,115.919319,GMT +8,mAHD,616087,616087,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,397863.963905858,6464786.99589479,-2.0000,2.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616088_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Active,-31.862701,116.013985,GMT +8,mAHD,616088,616088,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,406725.041562718,6474358.99653029,-9.0000,9.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616092_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Active,-32.078355,115.978799,GMT +8,mAHD,616092,616092,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,403621.985686356,6450423.02573375,-13.0000,13.0000
Department of Water and Environmental Regulation,DWER,Estuary,SWANCATCH,DWER-SWANCATCH,s616099_Daily_Discharge_Profile_DATA.csv,data-warehouse/csv/dwer/swancatch,Active,-31.817712,116.014051,GMT +8,mAHD,616099,616099,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00145,Hydrology, ,yyyy-mm-dd HH:MM:SS,Decimal,Daily Discharge (ML/day),String,406686.009020511,6479345.94879064,-9.0000,9.0000
