Agency_Name,Agency_Code,Program_Name,Program_Code,Tag,Data_File_Name,Data_File_Location,Status,Lat,Lon,Time_Zone,Vertical_Datum,Station_ID,Site_Description,Deployment,Deployment_Position,Vertical_Reference,Site_Mean_Depth,Bad_Data_Code,Email,Variable_ID,DataCategory,Sampling_Rate,Date_Format,Depth_Format,Variable_Name,QC_Code,X,Y,calc_SMD,mAHD
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6141432_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.2745,115.7025,GMT +8,mAHD,6141432,6141432,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,377806.199131298,6428398.51728977,0.0000,0.0000
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142830_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.140024,115.762558,GMT +8,mAHD,6142830,6142830,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,383291.001810487,6443372.99582154,5.9675,-5.9675
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142971_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.152366,115.720158,GMT +8,mAHD,6142971,6142971,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,379308.035761284,6441958.05295309,19.3144,-19.3144
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142972_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.14648,115.756724,GMT +8,mAHD,6142972,6142972,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,382748.995854093,6442650.96876451,10.8501,-10.8501
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142973_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.170703,115.762483,GMT +8,mAHD,6142973,6142973,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,383323.028708968,6439971.9488091,11.1732,-11.1732
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142974_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.197565,115.719833,GMT +8,mAHD,6142974,6142974,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,379337.011375969,6436947.03622679,20.3222,-20.3222
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142975_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.209851,115.759566,GMT +8,mAHD,6142975,6142975,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,383098.047392146,6435628.94743049,12.4997,-12.4997
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142976_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.238934,115.751412,GMT +8,mAHD,6142976,6142976,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,382367.009641208,6432395.97022475,16.8257,-16.8257
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142977_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.2565,115.740864,GMT +8,mAHD,6142977,6142977,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,381396.021917168,6430437.02747939,17.6492,-17.6492
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142980_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.229518,115.697969,GMT +8,mAHD,6142980,6142980,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,377318.970886774,6433380.01967024,12.0351,-12.0351
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142983_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.248232,115.712531,GMT +8,mAHD,6142983,6142983,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,378716.016929595,6431321.94791973,3.2126,-3.2126
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142984_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.182803,115.73909,GMT +8,mAHD,6142984,6142984,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,381133.032338538,6438604.96608735,10.2600,-10.2600
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142985_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.308838,115.708785,GMT +8,mAHD,6142985,6142985,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,378443.979063265,6424598.95711137,2.9904,-2.9904
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142986_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.336946,115.722167,GMT +8,mAHD,6142986,6142986,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,379741.026788786,6421498.00305798,17.2342,-17.2342
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142988_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.215297,115.696612,GMT +8,mAHD,6142988,6142988,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,377171.974988112,6434954.9922082,7.7071,-7.7071
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142989_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.198595,115.684831,GMT +8,mAHD,6142989,6142989,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,376039.022507569,6436793.02770308,6.1499,-6.1499
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6144466_Bottom_Depth_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.197784,115.765882,GMT +8,mAHD,6144466,6144466,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00179,Hydrodynamics, ,yyyy-mm-dd HH:MM:SS,Decimal,Bottom Depth (m),String,383677.966869684,6436973.51445628,10.4978,-10.4978
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMOORING,DWER-CSMOORING,D:\csiem\data-warehouse\csv\dwer\csmooring\dwermooring6147030_Tilt_DATA.csv,data-warehouse/csv/dwer/csmooring_v2,Inactive,-32.15660018,115.7027292,GMT +8,mAHD,6147030,North Cockburn Sound 4,Profile,m from Surface,Water Surface,,NaN,,var00182,Hydrodynamics,7.4199,yyyy-mm-dd HH:MM:SS,Decimal,Tilt (deg),String,377669.996144803,6441468.98638082,22.2603,-22.2603
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMOORING,DWER-CSMOORING,D:\csiem\data-warehouse\csv\dwer\csmooring\dwermooring6147031_Tilt_DATA.csv,data-warehouse/csv/dwer/csmooring_v2,Inactive,-32.25080006,115.7283213,GMT +8,mAHD,6147031,South Cockburn Sound 13,Profile,m from Surface,Water Surface,,NaN,,var00182,Hydrodynamics,4.8284,yyyy-mm-dd HH:MM:SS,Decimal,Tilt (deg),String,380206.996125176,6431054.98625033,19.1526,-19.1526
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMOORING,DWER-CSMOORING,D:\csiem\data-warehouse\csv\dwer\csmooring\dwermooring6147032_Tilt_DATA.csv,data-warehouse/csv/dwer/csmooring_v2,Inactive,-32.19228159,115.7452496,GMT +8,mAHD,6147032,Eastern Margin Seagrass,Floating,m from Surface,Water Surface,,NaN,,var00182,Hydrodynamics,35.7979,yyyy-mm-dd HH:MM:SS,Decimal,Tilt (deg),String,381726.003171579,6437560.98617941,4.7447,-4.7447
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMOORING,DWER-CSMOORING,D:\csiem\data-warehouse\csv\dwer\csmooring\dwermooring6147033_Tilt_Bottom_DATA.csv,data-warehouse/csv/dwer/csmooring_v2,Inactive,-32.27286493,115.7026804,GMT +8,mAHD,6147033,Mangles Bay,Fixed,0.5m from Seabed,m from Seabed,,NaN,,var00182,Hydrodynamics,29.2993,yyyy-mm-dd HH:MM:SS,Decimal,Tilt (deg),String,377820.997899946,6428579.98590966,1.0477,-1.0477
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMOORING,DWER-CSMOORING,D:\csiem\data-warehouse\csv\dwer\csmooring\dwermooring6147034_Tilt_DATA.csv,data-warehouse/csv/dwer/csmooring_v2,Inactive,-32.26240154,115.714178,GMT +8,mAHD,6147034,South 2 - Cockburn Sound 11,Profile,m from Surface,Water Surface,,NaN,,var00182,Hydrodynamics,5.7014,yyyy-mm-dd HH:MM:SS,Decimal,Tilt (deg),String,378889.998266851,6429752.98589864,18.1561,-18.1561
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMOORING,DWER-CSMOORING,D:\csiem\data-warehouse\csv\dwer\csmooring\dwermooring6147035_Tilt_DATA.csv,data-warehouse/csv/dwer/csmooring_v2,Inactive,-32.2001199,115.7406544,GMT +8,mAHD,6147035,Cockburn Sound - Desalination Plant,Profile,m from Surface,Water Surface,,NaN,,var00182,Hydrodynamics,6.7368,yyyy-mm-dd HH:MM:SS,Decimal,Tilt (deg),String,381303.002773911,6436686.98621402,16.6408,-16.6408
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMOORING,DWER-CSMOORING,D:\csiem\data-warehouse\csv\dwer\csmooring\dwermooring6147036_Tilt_DATA.csv,data-warehouse/csv/dwer/csmooring_v2,Inactive,-32.15743127,115.6793039,GMT +8,mAHD,6147036,North East - Garden Island Seagrass,Floating,m from Surface,Water Surface,,NaN,,var00182,Hydrodynamics,30.6762,yyyy-mm-dd HH:MM:SS,Decimal,Tilt (deg),String,375461.999033436,6441349.98677602,5.2807,-5.2807
