Agency_Name,Agency_Code,Program_Name,Program_Code,Tag,Data_File_Name,Data_File_Location,Status,Lat,Lon,Time_Zone,Vertical_Datum,Station_ID,Site_Description,Deployment,Deployment_Position,Vertical_Reference,Site_Mean_Depth,Bad_Data_Code,Email,Variable_ID,DataCategory,Sampling_Rate,Date_Format,Depth_Format,Variable_Name,QC_Code,X,Y,calc_SMD,mAHD
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6141432_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.2745,115.7025,GMT +8,mAHD,6141432,6141432,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,377806.199131298,6428398.51728977,0.0000,0.0000
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142828_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.151321,115.763847,GMT +8,mAHD,6142828,6142828,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,383426.960219618,6442122.0487638,4.0843,-4.0843
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142829_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.144304,115.761111,GMT +8,mAHD,6142829,6142829,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,383159.978092863,6442896.96165806,9.9070,-9.9070
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142830_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.140024,115.762558,GMT +8,mAHD,6142830,6142830,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,383291.001810487,6443372.99582154,5.9675,-5.9675
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142831_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.145133,115.755587,GMT +8,mAHD,6142831,6142831,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,382640.03428173,6442799.05349636,11.0334,-11.0334
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142832_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.145072,115.750286,GMT +8,mAHD,6142832,6142832,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,382139.986552307,6442800.02487466,11.0978,-11.0978
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142833_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.144985,115.739685,GMT +8,mAHD,6142833,6142833,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,381140.027503778,6442798.01489936,9.9234,-9.9234
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142834_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.150507,115.758037,GMT +8,mAHD,6142834,6142834,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,382877.980830729,6442205.97913882,11.2117,-11.2117
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142835_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.155463,115.763951,GMT +8,mAHD,6142835,6142835,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,383442.040909399,6441662.99412567,9.9097,-9.9097
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142836_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.159352,115.763103,GMT +8,mAHD,6142836,6142836,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,383367.024491347,6441230.95456226,10.0687,-10.0687
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142837_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.163896,115.762013,GMT +8,mAHD,6142837,6142837,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,383270.030788373,6440726.04041757,11.0729,-11.0729
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142842_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.153402,115.75522,GMT +8,mAHD,6142842,6142842,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,382616.019399092,6441881.98094736,10.7931,-10.7931
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142843_Dissolved_Oxygen_Profile_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.155803,115.752674,GMT +8,mAHD,6142843,6142843,Profile,m from Surface,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,382378.996858358,6441613.03474572,10.2783,-10.2783
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142970_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.154551,115.693841,GMT +8,mAHD,6142970,6142970,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,376829.037028266,6441686.0166181,21.3088,-21.3088
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142971_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.152366,115.720158,GMT +8,mAHD,6142971,6142971,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,379308.035761284,6441958.05295309,19.3144,-19.3144
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142972_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.14648,115.756724,GMT +8,mAHD,6142972,6142972,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,382748.995854093,6442650.96876451,10.8501,-10.8501
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142973_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.170703,115.762483,GMT +8,mAHD,6142973,6142973,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,383323.028708968,6439971.9488091,11.1732,-11.1732
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142974_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.197565,115.719833,GMT +8,mAHD,6142974,6142974,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,379337.011375969,6436947.03622679,20.3222,-20.3222
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142975_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.209851,115.759566,GMT +8,mAHD,6142975,6142975,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,383098.047392146,6435628.94743049,12.4997,-12.4997
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142976_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.238934,115.751412,GMT +8,mAHD,6142976,6142976,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,382367.009641208,6432395.97022475,16.8257,-16.8257
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142977_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.2565,115.740864,GMT +8,mAHD,6142977,6142977,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,381396.021917168,6430437.02747939,17.6492,-17.6492
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142978_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.262401,115.714178,GMT +8,mAHD,6142978,6142978,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,378889.997549596,6429753.04576258,18.1561,-18.1561
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142979_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.254165,115.684285,GMT +8,mAHD,6142979,6142979,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,376063.007654797,6430631.95633161,7.9017,-7.9017
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142980_Dissolved_Oxygen_Fixed_DATA.csv,data-warehouse/csv/dwer/csmwq,Active,-32.229518,115.697969,GMT +8,mAHD,6142980,6142980,Fixed,0.5m above Seabed,m above Seabed,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,377318.970886774,6433380.01967024,12.0351,-12.0351
Department of Water and Environmental Regulation,DWER,Estuary,CSMWQ,DWER-CSMWQ,s6142981_Dissolved_Oxygen_Integrated_DATA.csv,data-warehouse/csv/dwer/csmwq,Inactive,-32.198595,115.684831,GMT +8,mAHD,6142981,6142981,Integrated,Water Column,Water Surface,,NaN,wir@water.wa.gov.au,var00023,Water Quality (PhysChm), ,yyyy-mm-dd HH:MM:SS,Decimal,Dissolved Oxygen (mg/L),String,376039.022507569,6436793.02770308,6.1499,-6.1499
