#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: FFFBH01_02_1988
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19880101 TO 19881231
#LOCATION: Fremantle Fishing Boat Harbour
#Station Status:  Updated
#Lat: -32.065556  Long: 115.748056
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle 1949     which is   2.752   m below Benchmark   DMH 098   
#National Station ID:   NA
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00056,19880101.0000/
00055,19880101.0015/
00054,19880101.0030/
00049,19880101.0045/
00045,19880101.0100/
00042,19880101.0115/
00040,19880101.0130/
00037,19880101.0145/
00034,19880101.0200/
00034,19880101.0215/
00032,19880101.0230/
00031,19880101.0245/
00029,19880101.0300/
00027,19880101.0315/
00025,19880101.0330/
00024,19880101.0345/
00021,19880101.0400/
00022,19880101.0415/
00021,19880101.0430/
00019,19880101.0445/
00019,19880101.0500/
00019,19880101.0515/
00017,19880101.0530/
00017,19880101.0545/
00016,19880101.0600/
00020,19880101.0615/
00022,19880101.0630/
00020,19880101.0645/
00022,19880101.0700/
00023,19880101.0715/
00023,19880101.0730/
00024,19880101.0745/
00024,19880101.0800/
00026,19880101.0815/
00028,19880101.0830/
00028,19880101.0845/
00031,19880101.0900/
00031,19880101.0915/
00035,19880101.0930/
00037,19880101.0945/
00038,19880101.1000/
00040,19880101.1015/
00040,19880101.1030/
00041,19880101.1045/
00044,19880101.1100/
00043,19880101.1115/
00042,19880101.1130/
00042,19880101.1145/
00044,19880101.1200/
00048,19880101.1215/
00050,19880101.1230/
00053,19880101.1245/
00057,19880101.1300/
00058,19880101.1315/
00060,19880101.1330/
00061,19880101.1345/
00058,19880101.1400/
00059,19880101.1415/
00057,19880101.1430/
00061,19880101.1445/
00063,19880101.1500/
00064,19880101.1515/
00069,19880101.1530/
00075,19880101.1545/
00078,19880101.1600/
00080,19880101.1615/
00080,19880101.1630/
00081,19880101.1645/
00081,19880101.1700/
00081,19880101.1715/
00078,19880101.1730/
00080,19880101.1745/
00085,19880101.1800/
00086,19880101.1815/
00088,19880101.1830/
00091,19880101.1845/
00091,19880101.1900/
00091,19880101.1915/
00090,19880101.1930/
00088,19880101.1945/
00087,19880101.2000/
00084,19880101.2015/
00082,19880101.2030/
00085,19880101.2045/
00083,19880101.2100/
00080,19880101.2115/
00077,19880101.2130/
00075,19880101.2145/
00077,19880101.2200/
00072,19880101.2215/
00068,19880101.2230/
00068,19880101.2245/
00064,19880101.2300/
00060,19880101.2315/
00060,19880101.2330/
00054,19880101.2345/
00050,19880102.0000/
00049,19880102.0015/
00047,19880102.0030/
00047,19880102.0045/
00045,19880102.0100/
00043,19880102.0115/
00038,19880102.0130/
00037,19880102.0145/
00033,19880102.0200/
00032,19880102.0215/
00027,19880102.0230/
00023,19880102.0245/
00022,19880102.0300/
00021,19880102.0315/
00018,19880102.0330/
00017,19880102.0345/
00017,19880102.0400/
00016,19880102.0415/
00016,19880102.0430/
00018,19880102.0445/
00018,19880102.0500/
00014,19880102.0515/
00011,19880102.0530/
00011,19880102.0545/
00011,19880102.0600/
00008,19880102.0615/
00009,19880102.0630/
00011,19880102.0645/
00013,19880102.0700/
00014,19880102.0715/
00018,19880102.0730/
00018,19880102.0745/
00020,19880102.0800/
00018,19880102.0815/
00018,19880102.0830/
00021,19880102.0845/
00021,19880102.0900/
00024,19880102.0915/
00025,19880102.0930/
00029,19880102.0945/
00031,19880102.1000/
00035,19880102.1015/
00036,19880102.1030/
00035,19880102.1045/
00034,19880102.1100/
00036,19880102.1115/
00036,19880102.1130/
00036,19880102.1145/
00037,19880102.1200/
00040,19880102.1215/
00040,19880102.1230/
00043,19880102.1245/
00044,19880102.1300/
00045,19880102.1315/
00047,19880102.1330/
00049,19880102.1345/
00052,19880102.1400/
00052,19880102.1415/
00051,19880102.1430/
