#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: PTBAR02_03_2002
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 20020101 TO 20021231
#LOCATION: Barrack Street 02
#Station Status:  Updated
#Lat: -31.959694  Long: 115.85725
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle     which is   1.998   m below Benchmark   PWD BM A104   
#National Station ID:   NA
#Site Description: Located on jetty number 5 near ferry landing.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 5
#
H(cm),YYYYMMDD.hhmm/
   98,20020101.0000/
   98,20020101.0005/
   98,20020101.0010/
   98,20020101.0015/
   98,20020101.0020/
   98,20020101.0025/
   98,20020101.0030/
   98,20020101.0035/
   98,20020101.0040/
   98,20020101.0045/
   97,20020101.0050/
   97,20020101.0055/
   97,20020101.0100/
   96,20020101.0105/
   96,20020101.0110/
   95,20020101.0115/
   95,20020101.0120/
   94,20020101.0125/
   94,20020101.0130/
   93,20020101.0135/
   93,20020101.0140/
   92,20020101.0145/
   92,20020101.0150/
   91,20020101.0155/
   90,20020101.0200/
   89,20020101.0205/
   89,20020101.0210/
   88,20020101.0215/
   87,20020101.0220/
   87,20020101.0225/
   86,20020101.0230/
   86,20020101.0235/
   85,20020101.0240/
   85,20020101.0245/
   84,20020101.0250/
   83,20020101.0255/
   83,20020101.0300/
   82,20020101.0305/
   82,20020101.0310/
   81,20020101.0315/
   81,20020101.0320/
   80,20020101.0325/
   79,20020101.0330/
   79,20020101.0335/
   78,20020101.0340/
   77,20020101.0345/
   77,20020101.0350/
   76,20020101.0355/
   75,20020101.0400/
   75,20020101.0405/
   74,20020101.0410/
   73,20020101.0415/
   73,20020101.0420/
   72,20020101.0425/
   71,20020101.0430/
   70,20020101.0435/
   70,20020101.0440/
   69,20020101.0445/
   68,20020101.0450/
   67,20020101.0455/
   67,20020101.0500/
   66,20020101.0505/
   66,20020101.0510/
   65,20020101.0515/
   64,20020101.0520/
   64,20020101.0525/
