AED_ID,SiteID,Site_Name,Shortname,Easting,Northing,Latitude,Longitude,AgencyID,Agency_Name,Type_Data,Type_Station,Station_Status,InCS,Program
dwer6160118,6160118,Caversham Avenue Jetty - Unnamed,CAV,404687.3,6472636,-31.87807475,115.9922776,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6160119,6160119,Swan-Canning Estuary - Uprswn - Reg Bond Park,REG,405311.69,6473712.4,-31.868417,115.9989833,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6160121,6160121,Swan-Canning Estuary - Uprswn - Lilac Hill,LLH,403082,6471153,-31.89131642,115.9751592,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6160258,6160258,Swan-Canning Estuary - Lwrswn - Bla,BLA,385172,6457020,-32.01712604,115.7841286,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6160259,6160259,Swan-Canning Estuary - Lwrswn - Arm,ARM,387504,6458161,-32.00706869,115.8089498,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6160262,6160262,Swan-Canning - Midswn - Nar,NAR,391215,6463014,-31.96365737,115.8487799,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6160263,6160263,Swan-Canning Estuary - Midswn - NIL,NIL,394660,6464027,-31.95484529,115.8853411,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6160764,6160764,Maylands - Swimming Pool,MAY,396801,6465716,-31.93980695,115.9081728,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6160930,6160930,Swan-Canning Estuary - Uprswn - Mulberry Farm,MULB,403502.04,6471562.99,-31.8876538,115.9796411,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6161086,6161086,Swan River - Middle Swan Bridge,MSB,406263,6474166,-31.86440399,116.0090827,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6161821,6161821,Swan River - Kingsley Rd,KIN,401768,6468783,-31.91258215,115.9610264,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6161854,6161854,Swan River Phd - West Midland Pool,WMP,404439,6471549,-31.88785918,115.9895462,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6161869,6161869,Swan-Canning Estuary - Lwrswn - Heathcote,HEA,389983,6459538,-31.99489192,115.8353486,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6161870,6161870,Swan-Canning Estuary - Midswn - Unnamed,STJ,397308,6464439,-31.95137182,115.9134004,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6161878,6161878,Ron Courtney Island - Unnamed,RON,399802,6467786,-31.92140375,115.9401324,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6161879,6161879,Success Hill - Unnamed,SUC,401585,6470349,-31.89844028,115.9592501,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6162045,6162045,Swan-Canning Estuary - Kings Meadow Oval,KMO,401966,6469695,-31.90437259,115.9632125,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6162300,6162300,Swan River - Vitox Plant,VIT,401818,6470125,-31.90048101,115.9616911,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
dwer6163485,6163485,Bayswater CSBP Investgations - Bwr10,SANDBR,400826,6467654,-31.92268434,115.9509489,DWER,Department of Water and Environmental Regulation,WQ_nutrients,Grab,,,DWER SWANEST
