#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: FFFBH01_02_test1992
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19920101 TO 19921231
#LOCATION: Fremantle Fishing Boat Harbour
#Station Status: Updated
#Lat: -32.065556 Long: 115.748056
#Time Zone: Australian Western Standard Time
#Vertical Datum: LWM Fremantle 1949  which is  2.752 m below Benchmark DMH 098
#National Station ID: NA
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor: Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
   54,19920101.0000/
   55,19920101.0015/
   57,19920101.0030/
   52,19920101.0045/
   47,19920101.0100/
   44,19920101.0115/
   45,19920101.0130/
   45,19920101.0145/
   44,19920101.0200/
   34,19920101.0215/
   37,19920101.0230/
   34,19920101.0245/
   35,19920101.0300/
   34,19920101.0315/
   33,19920101.0330/
   31,19920101.0345/
   28,19920101.0400/
   33,19920101.0415/
   26,19920101.0430/
   26,19920101.0445/
   31,19920101.0500/
   30,19920101.0515/
   29,19920101.0530/
   29,19920101.0545/
   28,19920101.0600/
   31,19920101.0615/
   32,19920101.0630/
   29,19920101.0645/
   31,19920101.0700/
   32,19920101.0715/
   33,19920101.0730/
   34,19920101.0745/
   34,19920101.0800/
   39,19920101.0815/
   35,19920101.0830/
   38,19920101.0845/
   39,19920101.0900/
   42,19920101.0915/
   45,19920101.0930/
   47,19920101.0945/
   47,19920101.1000/
   48,19920101.1015/
   50,19920101.1030/
   46,19920101.1045/
   50,19920101.1100/
   52,19920101.1115/
   52,19920101.1130/
   54,19920101.1145/
   57,19920101.1200/
   64,19920101.1215/
   60,19920101.1230/
   62,19920101.1245/
   61,19920101.1300/
   59,19920101.1315/
   67,19920101.1330/
   67,19920101.1345/
   64,19920101.1400/
   72,19920101.1415/
   71,19920101.1430/
   70,19920101.1445/
   75,19920101.1500/
   76,19920101.1515/
   76,19920101.1530/
   78,19920101.1545/
   82,19920101.1600/
   82,19920101.1615/
   81,19920101.1630/
   87,19920101.1645/
   88,19920101.1700/
   87,19920101.1715/
   91,19920101.1730/
   90,19920101.1745/
   88,19920101.1800/
   93,19920101.1815/
   90,19920101.1830/
   88,19920101.1845/
   94,19920101.1900/
   92,19920101.1915/
   90,19920101.1930/
   93,19920101.1945/
   88,19920101.2000/
   90,19920101.2015/
   90,19920101.2030/
   88,19920101.2045/
   88,19920101.2100/
   84,19920101.2115/
   80,19920101.2130/
   78,19920101.2145/
   74,19920101.2200/
   73,19920101.2215/
   68,19920101.2230/
   65,19920101.2245/
   64,19920101.2300/
   59,19920101.2315/
   57,19920101.2330/
   57,19920101.2345/
   58,19920102.0000/
   53,19920102.0015/
   46,19920102.0030/
   46,19920102.0045/
   42,19920102.0100/
   39,19920102.0115/
   31,19920102.0130/
   33,19920102.0145/
   33,19920102.0200/
   30,19920102.0215/
   31,19920102.0230/
   29,19920102.0245/
   26,19920102.0300/
   25,19920102.0315/
   22,19920102.0330/
   19,19920102.0345/
   18,19920102.0400/
   18,19920102.0415/
   17,19920102.0430/
   19,19920102.0445/
   17,19920102.0500/
   18,19920102.0515/
   18,19920102.0530/
   18,19920102.0545/
   21,19920102.0600/
   18,19920102.0615/
   18,19920102.0630/
   22,19920102.0645/
   23,19920102.0700/
   25,19920102.0715/
   25,19920102.0730/
   27,19920102.0745/
   27,19920102.0800/
   27,19920102.0815/
   27,19920102.0830/
   26,19920102.0845/
   29,19920102.0900/
   32,19920102.0915/
   32,19920102.0930/
   39,19920102.0945/
   40,19920102.1000/
   40,19920102.1015/
   43,19920102.1030/
   41,19920102.1045/
   41,19920102.1100/
   40,19920102.1115/
   39,19920102.1130/
   40,19920102.1145/
   42,19920102.1200/
   42,19920102.1215/
   46,19920102.1230/
   47,19920102.1245/
   51,19920102.1300/
   53,19920102.1315/
   54,19920102.1330/
   53,19920102.1345/
   54,19920102.1400/
   55,19920102.1415/
   54,19920102.1430/
   57,19920102.1445/
   60,19920102.1500/
   61,19920102.1515/
   65,19920102.1530/
   69,19920102.1545/
   70,19920102.1600/
   73,19920102.1615/
   75,19920102.1630/
   74,19920102.1645/
   77,19920102.1700/
   78,19920102.1715/
   79,19920102.1730/
   81,19920102.1745/
   82,19920102.1800/
   81,19920102.1815/
   85,19920102.1830/
   88,19920102.1845/
   88,19920102.1900/
   86,19920102.1915/
   87,19920102.1930/
   85,19920102.1945/
   84,19920102.2000/
   86,19920102.2015/
   87,19920102.2030/
   83,19920102.2045/
   84,19920102.2100/
   84,19920102.2115/
   79,19920102.2130/
   77,19920102.2145/
   79,19920102.2200/
   73,19920102.2215/
   69,19920102.2230/
   68,19920102.2245/
   65,19920102.2300/
   63,19920102.2315/
   60,19920102.2330/
   57,19920102.2345/
   56,19920103.0000/
   54,19920103.0015/
   51,19920103.0030/
   46,19920103.0045/
   44,19920103.0100/
   41,19920103.0115/
   38,19920103.0130/
   33,19920103.0145/
   31,19920103.0200/
   28,19920103.0215/
   26,19920103.0230/
   26,19920103.0245/
   22,19920103.0300/
   22,19920103.0315/
   20,19920103.0330/
   16,19920103.0345/
   15,19920103.0400/
   14,19920103.0415/
   15,19920103.0430/
   14,19920103.0445/
   13,19920103.0500/
   14,19920103.0515/
   13,19920103.0530/
   16,19920103.0545/
   15,19920103.0600/
   13,19920103.0615/
   16,19920103.0630/
   17,19920103.0645/
   16,19920103.0700/
   18,19920103.0715/
   18,19920103.0730/
   18,19920103.0745/
   21,19920103.0800/
   22,19920103.0815/
   23,19920103.0830/
   25,19920103.0845/
   27,19920103.0900/
   29,19920103.0915/
   30,19920103.0930/
   34,19920103.0945/
   37,19920103.1000/
   37,19920103.1015/
   38,19920103.1030/
   38,19920103.1045/
   37,19920103.1100/
   36,19920103.1115/
   39,19920103.1130/
   41,19920103.1145/
   40,19920103.1200/
   42,19920103.1215/
   45,19920103.1230/
   48,19920103.1245/
   44,19920103.1300/
   44,19920103.1315/
   46,19920103.1330/
   47,19920103.1345/
   50,19920103.1400/
   50,19920103.1415/
   56,19920103.1430/
   59,19920103.1445/
   60,19920103.1500/
   63,19920103.1515/
   65,19920103.1530/
   64,19920103.1545/
   68,19920103.1600/
   67,19920103.1615/
   70,19920103.1630/
   75,19920103.1645/
   76,19920103.1700/
   76,19920103.1715/
   80,19920103.1730/
   83,19920103.1745/
   84,19920103.1800/
   84,19920103.1815/
   87,19920103.1830/
   89,19920103.1845/
   87,19920103.1900/
   89,19920103.1915/
   90,19920103.1930/
   92,19920103.1945/
   94,19920103.2000/
   92,19920103.2015/
   90,19920103.2030/
   95,19920103.2045/
   94,19920103.2100/
   89,19920103.2115/
   88,19920103.2130/
   86,19920103.2145/
   85,19920103.2200/
   84,19920103.2215/
   77,19920103.2230/
   74,19920103.2245/
   76,19920103.2300/
   74,19920103.2315/
   71,19920103.2330/
   71,19920103.2345/
   71,19920104.0000/
   67,19920104.0015/
   62,19920104.0030/
   59,19920104.0045/
   55,19920104.0100/
   54,19920104.0115/
   47,19920104.0130/
   48,19920104.0145/
   44,19920104.0200/
   45,19920104.0215/
   40,19920104.0230/
   37,19920104.0245/
   40,19920104.0300/
   38,19920104.0315/
   34,19920104.0330/
   30,19920104.0345/
   32,19920104.0400/
   28,19920104.0415/
   30,19920104.0430/
   25,19920104.0445/
   24,19920104.0500/
   25,19920104.0515/
   25,19920104.0530/
   24,19920104.0545/
   28,19920104.0600/
   30,19920104.0615/
   30,19920104.0630/
   28,19920104.0645/
   29,19920104.0700/
   31,19920104.0715/
   30,19920104.0730/
   32,19920104.0745/
   31,19920104.0800/
   36,19920104.0815/
   38,19920104.0830/
   39,19920104.0845/
   44,19920104.0900/
   42,19920104.0915/
   44,19920104.0930/
   46,19920104.0945/
   47,19920104.1000/
   50,19920104.1015/
   50,19920104.1030/
   50,19920104.1045/
   50,19920104.1100/
   49,19920104.1115/
   51,19920104.1130/
   54,19920104.1145/
   52,19920104.1200/
   53,19920104.1215/
   56,19920104.1230/
   58,19920104.1245/
   57,19920104.1300/
   59,19920104.1315/
   58,19920104.1330/
   57,19920104.1345/
   60,19920104.1400/
   58,19920104.1415/
   62,19920104.1430/
   63,19920104.1445/
   62,19920104.1500/
   66,19920104.1515/
   72,19920104.1530/
   69,19920104.1545/
   73,19920104.1600/
   74,19920104.1615/
   77,19920104.1630/
   83,19920104.1645/
   81,19920104.1700/
   80,19920104.1715/
   84,19920104.1730/
   85,19920104.1745/
   86,19920104.1800/
   86,19920104.1815/
   89,19920104.1830/
   88,19920104.1845/
   91,19920104.1900/
   92,19920104.1915/
   94,19920104.1930/
   96,19920104.1945/
   96,19920104.2000/
   98,19920104.2015/
  102,19920104.2030/
  102,19920104.2045/
  101,19920104.2100/
  100,19920104.2115/
   96,19920104.2130/
   92,19920104.2145/
   92,19920104.2200/
   93,19920104.2215/
   91,19920104.2230/
   90,19920104.2245/
   88,19920104.2300/
   88,19920104.2315/
   87,19920104.2330/
   80,19920104.2345/
   81,19920105.0000/
   75,19920105.0015/
   72,19920105.0030/
   71,19920105.0045/
   66,19920105.0100/
   64,19920105.0115/
   66,19920105.0130/
   59,19920105.0145/
   57,19920105.0200/
   46,19920105.0215/
   53,19920105.0230/
   46,19920105.0245/
   38,19920105.0300/
   34,19920105.0315/
   35,19920105.0330/
   38,19920105.0345/
   41,19920105.0400/
   37,19920105.0415/
   34,19920105.0430/
   30,19920105.0445/
   27,19920105.0500/
   32,19920105.0515/
   22,19920105.0530/
   24,19920105.0545/
   27,19920105.0600/
   27,19920105.0615/
   33,19920105.0630/
   32,19920105.0645/
   31,19920105.0700/
   31,19920105.0715/
   31,19920105.0730/
   29,19920105.0745/
   28,19920105.0800/
   33,19920105.0815/
   34,19920105.0830/
   36,19920105.0845/
   37,19920105.0900/
   40,19920105.0915/
   40,19920105.0930/
   42,19920105.0945/
   46,19920105.1000/
   45,19920105.1015/
   50,19920105.1030/
   52,19920105.1045/
   49,19920105.1100/
   51,19920105.1115/
   47,19920105.1130/
   52,19920105.1145/
   49,19920105.1200/
   47,19920105.1215/
   58,19920105.1230/
   55,19920105.1245/
   56,19920105.1300/
   59,19920105.1315/
   55,19920105.1330/
   53,19920105.1345/
   52,19920105.1400/
   55,19920105.1415/
   49,19920105.1430/
   49,19920105.1445/
   52,19920105.1500/
   54,19920105.1515/
   56,19920105.1530/
   57,19920105.1545/
   64,19920105.1600/
   66,19920105.1615/
   67,19920105.1630/
   72,19920105.1645/
   71,19920105.1700/
   70,19920105.1715/
   74,19920105.1730/
   77,19920105.1745/
   76,19920105.1800/
   78,19920105.1815/
   83,19920105.1830/
   83,19920105.1845/
   84,19920105.1900/
   86,19920105.1915/
   87,19920105.1930/
   90,19920105.1945/
   90,19920105.2000/
   94,19920105.2015/
   95,19920105.2030/
   95,19920105.2045/
   92,19920105.2100/
   91,19920105.2115/
   91,19920105.2130/
   89,19920105.2145/
   89,19920105.2200/
   88,19920105.2215/
   86,19920105.2230/
   85,19920105.2245/
   82,19920105.2300/
   77,19920105.2315/
   76,19920105.2330/
   75,19920105.2345/
   69,19920106.0000/
   71,19920106.0015/
   67,19920106.0030/
   64,19920106.0045/
   65,19920106.0100/
   60,19920106.0115/
   56,19920106.0130/
   55,19920106.0145/
   48,19920106.0200/
   47,19920106.0215/
   43,19920106.0230/
   40,19920106.0245/
   36,19920106.0300/
   34,19920106.0315/
   32,19920106.0330/
   32,19920106.0345/
   32,19920106.0400/
   32,19920106.0415/
   29,19920106.0430/
   28,19920106.0445/
   27,19920106.0500/
   26,19920106.0515/
   24,19920106.0530/
   23,19920106.0545/
   23,19920106.0600/
   22,19920106.0615/
   23,19920106.0630/
   24,19920106.0645/
   25,19920106.0700/
   28,19920106.0715/
   25,19920106.0730/
   26,19920106.0745/
   28,19920106.0800/
   29,19920106.0815/
   29,19920106.0830/
   31,19920106.0845/
   35,19920106.0900/
   37,19920106.0915/
   36,19920106.0930/
   39,19920106.0945/
   40,19920106.1000/
   40,19920106.1015/
   45,19920106.1030/
   43,19920106.1045/
   43,19920106.1100/
   46,19920106.1115/
   47,19920106.1130/
   46,19920106.1145/
   47,19920106.1200/
   49,19920106.1215/
   46,19920106.1230/
   46,19920106.1245/
   47,19920106.1300/
   47,19920106.1315/
   51,19920106.1330/
   50,19920106.1345/
   51,19920106.1400/
   50,19920106.1415/
   48,19920106.1430/
   48,19920106.1445/
   48,19920106.1500/
   46,19920106.1515/
   50,19920106.1530/
   54,19920106.1545/
   56,19920106.1600/
   58,19920106.1615/
   63,19920106.1630/
   63,19920106.1645/
   65,19920106.1700/
