#DEPARTMENT OF TRANSPORT- FREMANTLE
#WATER LEVEL OBSERVATIONS
#Data File Name: FFFBH01_02_1995
#THE DATA SPANS THE PERIOD (YYYYMMDD) FROM 19950101 TO 19951231
#LOCATION: Fremantle Fishing Boat Harbour
#Station Status:  Updated
#Lat: -32.065556  Long: 115.748056
#Time Zone: Australian Western Standard Time  UTC +08:00:00
#Vertical Datum: LWM Fremantle 1949     which is   2.752   m below Benchmark   DMH 098   
#National Station ID:   NA
#Site Description: 14 Capo d'Orlando Drive, located on walkway, inside Marine Operations compound.
#Tide Gauge Sensor:  Float/Pulley assembly, stilling well
#Sensor Details: In house, NA
#Bad or Unavailable Data Value:   -9999
#Contact Email:  tides@transport.wa.gov.au
#Unit of Height Observations: cm    Sampling Rate (min): 15
#
H(cm),YYYYMMDD.hhmm/
00086,19950101.0000/
00080,19950101.0015/
00073,19950101.0030/
00073,19950101.0045/
00068,19950101.0100/
00064,19950101.0115/
00064,19950101.0130/
00057,19950101.0145/
00056,19950101.0200/
00056,19950101.0215/
00049,19950101.0230/
00048,19950101.0245/
00047,19950101.0300/
00037,19950101.0315/
00038,19950101.0330/
00035,19950101.0345/
00028,19950101.0400/
00032,19950101.0415/
00030,19950101.0430/
00029,19950101.0445/
00029,19950101.0500/
00027,19950101.0515/
00027,19950101.0530/
00025,19950101.0545/
00026,19950101.0600/
00026,19950101.0615/
00025,19950101.0630/
00026,19950101.0645/
00023,19950101.0700/
00027,19950101.0715/
00030,19950101.0730/
00031,19950101.0745/
00034,19950101.0800/
00036,19950101.0815/
00041,19950101.0830/
00038,19950101.0845/
00043,19950101.0900/
00045,19950101.0915/
00047,19950101.0930/
00044,19950101.0945/
00045,19950101.1000/
00050,19950101.1015/
00053,19950101.1030/
00057,19950101.1045/
00060,19950101.1100/
00058,19950101.1115/
00063,19950101.1130/
00061,19950101.1145/
00061,19950101.1200/
00057,19950101.1215/
00053,19950101.1230/
00056,19950101.1245/
00062,19950101.1300/
00060,19950101.1315/
00061,19950101.1330/
00063,19950101.1345/
00064,19950101.1400/
00066,19950101.1415/
00068,19950101.1430/
00070,19950101.1445/
00068,19950101.1500/
00066,19950101.1515/
00070,19950101.1530/
00075,19950101.1545/
00073,19950101.1600/
00075,19950101.1615/
00077,19950101.1630/
00082,19950101.1645/
00083,19950101.1700/
00085,19950101.1715/
00087,19950101.1730/
00090,19950101.1745/
00095,19950101.1800/
00094,19950101.1815/
00093,19950101.1830/
00096,19950101.1845/
00101,19950101.1900/
00100,19950101.1915/
00101,19950101.1930/
00102,19950101.1945/
00105,19950101.2000/
00106,19950101.2015/
00108,19950101.2030/
00110,19950101.2045/
00110,19950101.2100/
00105,19950101.2115/
00105,19950101.2130/
00105,19950101.2145/
00105,19950101.2200/
00101,19950101.2215/
00102,19950101.2230/
00101,19950101.2245/
00102,19950101.2300/
00102,19950101.2315/
00098,19950101.2330/
00095,19950101.2345/
00090,19950102.0000/
00086,19950102.0015/
00086,19950102.0030/
00082,19950102.0045/
00076,19950102.0100/
00074,19950102.0115/
00072,19950102.0130/
00071,19950102.0145/
00069,19950102.0200/
00060,19950102.0215/
00056,19950102.0230/
00057,19950102.0245/
00055,19950102.0300/
00049,19950102.0315/
00044,19950102.0330/
00041,19950102.0345/
00040,19950102.0400/
00037,19950102.0415/
00035,19950102.0430/
00035,19950102.0445/
00032,19950102.0500/
00033,19950102.0515/
00031,19950102.0530/
00028,19950102.0545/
00029,19950102.0600/
00028,19950102.0615/
00025,19950102.0630/
00024,19950102.0645/
00030,19950102.0700/
00030,19950102.0715/
00031,19950102.0730/
00030,19950102.0745/
00032,19950102.0800/
00036,19950102.0815/
00036,19950102.0830/
00038,19950102.0845/
00036,19950102.0900/
00042,19950102.0915/
00043,19950102.0930/
00043,19950102.0945/
00044,19950102.1000/
00045,19950102.1015/
00052,19950102.1030/
00051,19950102.1045/
00053,19950102.1100/
00055,19950102.1115/
00055,19950102.1130/
00059,19950102.1145/
00060,19950102.1200/
00058,19950102.1215/
00057,19950102.1230/
00057,19950102.1245/
00058,19950102.1300/
00056,19950102.1315/
00060,19950102.1330/
00060,19950102.1345/
00061,19950102.1400/
00062,19950102.1415/
00061,19950102.1430/
00060,19950102.1445/
00065,19950102.1500/
00064,19950102.1515/
00066,19950102.1530/
