Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6160764_Dissolved_Organic_Nitrogen_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Active
Lat,-31.939806945
Long,115.908172832
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160764
Site Description,6160764
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00032
Data Classification,WQ Grab
Sampling Rate (min),9602.9817
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Dissolved Organic Nitrogen (mg/L)
QC,String
