Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6161869_Total_Suspended_Solids_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Active
Lat,   NaN
Long,   NaN
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6161869
Site Description,6161869
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Data Classification,WQ Grab
Sampling Rate (min),19800.0595
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Total Suspended Solids (mg/L),Decimal
QC,String
