Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6161854_Chlorophyll_b_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Active
Lat,-31.887859159
Long,115.989545666
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6161854
Site Description,6161854
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00131
Data Classification,WQ Grab
Sampling Rate (min),25083.7635
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-b (µg/L)
QC,String
