Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6167160_Chlorophyll_c_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Inactive
Lat,-31.998888973
Long,115.844249917
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6167160
Site Description,6167160
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00132
Data Classification,WQ Grab
Sampling Rate (min),4025.4033
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Chlorophyll-c (µg/L)
QC,String
