Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6164323_Cloud_Cover_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Inactive
Lat,-31.920072159
Long,115.941618323
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6164323
Site Description,6164323
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00133
Data Classification,WQ Grab
Sampling Rate (min),11116.5000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Cloud Cover (%)
QC,String
