Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6160121_pH_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Inactive
Lat,-31.891316425
Long,115.975159240
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160121
Site Description,6160121
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00137
Data Classification,WQ Grab
Sampling Rate (min),2670.9364
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,pH ()
QC,String
