Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6167114_Phaeophytin_a_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Inactive
Lat,-31.894387399
Long,115.971332059
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6167114
Site Description,6167114
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00138
Data Classification,WQ Grab
Sampling Rate (min),117.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Phaeophytin a (mg/L)
QC,String
