Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6160259_O2_Saturation_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Active
Lat,-32.007068688
Long,115.808949832
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160259
Site Description,6160259
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00085
Data Classification,WQ Grab
Sampling Rate (min),572.9259
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,O2 Saturation (%)
QC,String
