Agency Name,Department of Water and Environmental Regulation
Agency Code,DWER
Program,Estuary
Project,SWANEST
Data File Name,6160258_Dissolved_Organic_Carbon_DATA.csv
Location,data-warehouse/csv/dwer/swanest
Station Status,Active
Lat,-32.017126042
Long,115.784128632
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,6160258
Site Description,6160258
Bad or Unavailable Data Value,NaN
Contact Email,wir@water.wa.gov.au
Variable ID,var00029
Data Classification,WQ Grab
Sampling Rate (min),19176.7500
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Dissolved Organic Carbon (mg/L)
QC,String
