Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\9265_Mean_sea_level_pressure_DATA.csv
Location,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.82560000
Long,115.73860000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9265
Site Description,HILLARYS BOAT HARBOUR NTC AWS           
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),29.6773
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Mean sea level pressure (hPa),Decimal
QC,String
