Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\9178_Wet_Bulb_Air_Temperature_DATA.csv
Location,C:\Users\00065525\Github\csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.46280000
Long,115.86420000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9178
Site Description,GINGIN AERO                             
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),46.1000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Wet Bulb Air Temperature (^{\circ}C),Decimal
QC,String
