Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9214_Wind_Speed_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.75940000
Long,115.72780000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9214
Site Description,OCEAN REEF                              
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),29.0927
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Wind Speed (m/s),Decimal
QC,String
