Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9215_Cloud_amount_of_first_group_in_eighths_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Inactive
Lat,-31.95600000
Long,115.76190000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9215
Site Description,SWANBOURNE                              
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),38.3621
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Cloud amount of first group in eighths (oktas),Decimal
QC,String
