Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9053_Ceilometer_cloud_height_of_second_group_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.66690000
Long,116.01890000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9053
Site Description,PEARCE RAAF                             
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),201.6545
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Ceilometer cloud height of second group (ft),Decimal
QC,String
