Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9021_Wet_Bulb_Air_Temperature_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.92750000
Long,115.97640000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9021
Site Description,PERTH AIRPORT                           
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Data Classification,MET General
Sampling Rate (min),28.6080
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Wet Bulb Air Temperature (^{\circ}C),Decimal
QC,String
