Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,9254_Ceilometer_sky_clear_flag_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-32.17580000
Long,115.68080000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9254
Site Description,ARMAMENT JETTY                          
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),28.5642
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Ceilometer sky clear flag (),Decimal
QC,String
