Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,9172_Ceilometer_cloud_height_of_second_group_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-32.10110000
Long,115.87940000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9172
Site Description,JANDAKOT AERO                           
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),124.9459
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Ceilometer cloud height of second group (ft),Decimal
QC,String
