Agency Name,Bureau of Meteorology
Agency Code,BOM
Program,Weather
Project,IDY
Data File Name,9053_Cloud_amount_of_first_group_in_eighths_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.66690000
Long,116.01890000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9053
Site Description,PEARCE RAAF                             
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),284.0564
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Cloud amount of first group in eighths (oktas),Decimal
QC,String
