Agency Name,Bureau of Meteorology
Agency Code,BOM
Data File Name,9091_Ceilometer_sky_clear_flag_DATA.csv
Location,csiem-data\ingestion\bom\idy\
Station Status,Active
Lat,-31.98890000
Long,115.83110000
Time Zone,GMT +8
Vertical Datum, 
National Station ID,9091
Site Description,INNER DOLPHIN PYLON                     
Bad or Unavailable Data Value,-9999
Contact Email,climatedata@bom.gov.au
Sampling Rate (min),33.1947
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Ceilometer sky clear flag (),Decimal
QC,String
